state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ABIA,ABA NORTH,,ABIA PLOY XVIII,01/01/01/035,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3103/ward/17526/pu/126567/126567-1677666960.pdf,false
ABIA,ABA NORTH,,EZIAMA HIGH SCH. XI,01/01/01/050,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618239/result_160723_1677495620_thumb.jpg,true
ABIA,ABA NORTH,,ABIA PLOY XXVII,01/01/01/044,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618233/result_160717_1677614959_thumb.jpg,false
ABIA,ABA NORTH,,ABIA POLY XXVI,01/01/01/043,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618232/result_160716_1677614367_thumb.jpg,false
ABIA,ABA NORTH,,ABIA PLOY XXV,01/01/01/042,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618231/result_160715_1677613048_thumb.jpg,false
ABIA,ABA NORTH,,ABIA PLOY XXIV,01/01/01/041,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618230/result_160714_1677612625_thumb.jpg,false
ABIA,ABA NORTH,,ABIA PLOY XX,01/01/01/037,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618226/result_160710_1677612083_thumb.jpg,false
ABIA,ABA NORTH,,ABIA POLY XV,01/01/01/032,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618221/result_160705_1677611298_thumb.jpg,false
ABIA,ABA NORTH,,ABIA PLOY XXII,01/01/01/039,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
ABIA,ABA NORTH,,EZIAMA HIGH SCH. X,01/01/01/049,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618238/result_160722_1677502885_thumb.jpg,true
ABIA,ABA NORTH,,RAILWAY QUARTERS VI,01/01/01/054,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618243/result_160727_1677503988_thumb.jpg,true
ABIA,ABA NORTH,,RAILWAY QUARTERS V,01/01/01/053,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618242/result_160726_1677584695_thumb.jpg,false
ABIA,ABA NORTH,,EZIAMA HIGH SCH. XII,01/01/01/051,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618240/result_160724_1677582528_thumb.jpg,false
ABIA,ABA NORTH,,EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL V,01/01/01/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3103/ward/17526/pu/21/21-1677513821.pdf,false
ABIA,ABA NORTH,,EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL IV,01/01/01/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3103/ward/17526/pu/20/20-1677513408.pdf,false
ABIA,ABA NORTH,,RAILWAY QUARTERS - RAILWAY QUARTERS III,01/01/01/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3103/ward/17526/pu/9/9-1677512335.pdf,false
ABIA,ABA NORTH,,RAILWAY QUARTERS - RAILWAY QUARTERS II,01/01/01/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3103/ward/17526/pu/8/8-1677512048.pdf,false
ABIA,ABA NORTH,,RAILWAY QUARTERS - RAILWAY QUARTERS I,01/01/01/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/001/001-1677420870.pdf,false
ABIA,ABA NORTH,,EZIAMA HIGH SCH. VIII,01/01/01/047,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/047/047-1677404188.pdf,false
ABIA,ABA NORTH,,EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL VII,01/01/01/022,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/022/022-1677398617.pdf,false
ABIA,ABA NORTH,,EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL III,01/01/01/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/013/013-1677398317.pdf,false
ABIA,ABA NORTH,,ABIA POLY - ABIA POLY I,01/01/01/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/005/005-1677396730.pdf,false
ABIA,ABA NORTH,,EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL VIII,01/01/01/023,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/023/023-1677395988.pdf,false
ABIA,ABA NORTH,,EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL I,01/01/01/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/016/016-1677395768.pdf,false
ABIA,ABA NORTH,,ABIA PLOY IX,01/01/01/026,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/026/026-1677395521.pdf,false
ABIA,ABA NORTH,,EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL II,01/01/01/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/017/017-1677395231.pdf,false
ABIA,ABA NORTH,,EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL V,01/01/01/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/020/020-1677394909.pdf,false
ABIA,ABA NORTH,,ABIA POLY XII,01/01/01/029,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/029/029-1677394627.pdf,false
ABIA,ABA NORTH,,EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL III,01/01/01/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/018/018-1677394383.pdf,false
ABIA,ABA NORTH,,EZIAMA HIGH SCHOOL VI,01/01/01/045,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/045/045-1677393954.pdf,false
ABIA,ABA NORTH,,EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL VI,01/01/01/021,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/021/021-1677393731.pdf,false
ABIA,ABA NORTH,,EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL IV,01/01/01/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/019/019-1677392483.pdf,false
ABIA,ABA NORTH,,ABIA POLY VII,01/01/01/024,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/024/024-1677391605.pdf,false
ABIA,ABA NORTH,,ABIA PLOY XVII,01/01/01/034,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/034/034-1677374155.pdf,false
ABIA,ABA NORTH,,ABIA POLY XIX,01/01/01/036,,false
ABIA,ABA NORTH,,ABIA PLOY XVI,01/01/01/033,,false
ABIA,ABA NORTH,,EZIAMA HIGH SCHOOL VII,01/01/01/046,,false
ABIA,ABA NORTH,,ABIA PLOY XXI,01/01/01/038,,false
