state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ABIA,ABA SOUTH,EKEOHA,MBIERI DEVELOPMENT UNION HALL III,01/02/08/029,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3104/ward/17545/pu/126893/126893-1677612381.pdf,false
ABIA,ABA SOUTH,EKEOHA,MBIERI DEVELOPMENT UNION HALL I,01/02/08/027,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3104/ward/17545/pu/126891/126891-1677611440.pdf,false
ABIA,ABA SOUTH,EKEOHA,EKEOHA-ASA ROAD PRIM.SCHOOL IV,01/02/08/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3104/ward/17545/pu/497/497-1677610096.pdf,false
ABIA,ABA SOUTH,EKEOHA,EKEOHA-AMICHI HALL III,01/02/08/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3104/ward/17545/pu/515/515-1677608289.pdf,true
ABIA,ABA SOUTH,EKEOHA,EKEOHA-AMICHI HALL I,01/02/08/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3104/ward/17545/pu/513/513-1677607271.pdf,true
ABIA,ABA SOUTH,EKEOHA,EKEOHA-NGWA ROAD PRIM.SCHL V,01/02/08/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3104/ward/17545/pu/508/508-1677604418.pdf,false
ABIA,ABA SOUTH,EKEOHA,EKEOHA-ASA ROAD PRIM.SCHOOL I,01/02/08/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/08/pu/001/001-1677418708.pdf,false
ABIA,ABA SOUTH,EKEOHA,EKEOHA-NGWA ROAD PRIM.SCHL III,01/02/08/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/08/pu/013/013-1677417021.pdf,false
ABIA,ABA SOUTH,EKEOHA,EKEOHA-ASA ROAD PRIM.SCHOOL V,01/02/08/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/08/pu/005/005-1677411445.pdf,false
ABIA,ABA SOUTH,EKEOHA,EKEOHA-ASA TRIANGLE PRIM.SCHOOL III,01/02/08/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/08/pu/008/008-1677407733.pdf,false
