state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ABIA,IKWUANO,USAKA,"Ariam Usaka Central School
Amaegbu",01/05/10/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1031/result_162225_1677504072_thumb.jpg,true
ABIA,IKWUANO,USAKA,NDIAMA NKUMEKPO HALL - NDIAMA NKUMEKPO,01/05/10/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1038/result_162232_1677506741_thumb.jpg,true
ABIA,IKWUANO,USAKA,NDIEKE VILLAGE SQUARE - NDIEKE,01/05/10/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1037/result_162231_1677506508_thumb.jpg,true
ABIA,IKWUANO,USAKA,NDI OBUBA AMAEGBU VILLAGE,01/05/10/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618676/result_162234_1677507294_thumb.jpg,true
ABIA,IKWUANO,USAKA,OBONI - UPA  COMMUNITY SCHOOL - OBONI - UPA,01/05/10/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1033/result_162227_1677504900_thumb.jpg,true
ABIA,IKWUANO,USAKA,"Comm. Primary School
Ekwelu Usaka I",01/05/10/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1035/result_162229_1677505608_thumb.jpg,true
ABIA,IKWUANO,USAKA,USAKA COMMUNITY SCHOOL - USAKA,01/05/10/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1034/result_162228_1677505121_thumb.jpg,true
ABIA,IKWUANO,USAKA,"Comm. Primary School 
Ekwelu Usaka II",01/05/10/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1036/result_162230_1677505948_thumb.jpg,true
ABIA,IKWUANO,USAKA,NDI USO VILLAGE SQUARE,01/05/10/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618690/result_162233_1677507090_thumb.jpg,true
ABIA,IKWUANO,USAKA,OBUGWU VILLAGE SQUARE - OBUGWU,01/05/10/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1032/result_162226_1677504497_thumb.jpg,true
