state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ABIA,ISUIKWUATO,EZERE,ASAGA HALL OBAYI,01/08/02/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618812/result_162644_1677598484_thumb.jpg,false
ABIA,ISUIKWUATO,EZERE,OVIM COMMUNITY SCHOOL - OHOROHO,01/08/02/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
ABIA,ISUIKWUATO,EZERE,OVIM COMMUNITY SCHOOL OHOROHO - OHOROHO,01/08/02/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1322/result_162639_1677597157_thumb.jpg,false
ABIA,ISUIKWUATO,EZERE,OHONJA HALL - OHONJA,01/08/02/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1321/result_162638_1677596551_thumb.jpg,false
ABIA,ISUIKWUATO,EZERE,SPENCE PRI. SCH. - OBAYI,01/08/02/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1319/result_162636_1677595961_thumb.jpg,false
ABIA,ISUIKWUATO,EZERE,UMUAGU VILLAGE SQUARE - OZARA,01/08/02/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1312/result_162629_1677585260_thumb.jpg,false
ABIA,ISUIKWUATO,EZERE,OZARA RAILWAY STATION - OZARA,01/08/02/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1314/result_162631_1677586352_thumb.jpg,false
ABIA,ISUIKWUATO,EZERE,OVIM COMMUNITY SCHOOL - UMUDINJA,01/08/02/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1315/result_162632_1677586964_thumb.jpg,false
ABIA,ISUIKWUATO,EZERE,AMUNE VILLAGE SQUARE - AMUNE,01/08/02/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1316/result_162633_1677587522_thumb.jpg,false
ABIA,ISUIKWUATO,EZERE,ORUA SQUARE - AMUNE,01/08/02/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1317/result_162634_1677587853_thumb.jpg,false
ABIA,ISUIKWUATO,EZERE,EZERE CENTRAL SCHOOL - EZERE,01/08/02/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1310/result_162627_1677584633_thumb.jpg,false
ABIA,ISUIKWUATO,EZERE,UMUAKWUA COMMUNITY SCHOOL - OZARA,01/08/02/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1313/result_162630_1677585594_thumb.jpg,false
ABIA,ISUIKWUATO,EZERE,OZARA CENTRAL SCHOOL -OZARA,01/08/02/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1311/result_162628_1677584964_thumb.jpg,false
ABIA,ISUIKWUATO,EZERE,UMUKWU VILLAGE SQUARE - AMUNE,01/08/02/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/02/pu/017/017-1677398515.pdf,false
ABIA,ISUIKWUATO,EZERE,UMUDINJA VILLAGE SQUARE - UMUDINJA,01/08/02/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/02/pu/016/016-1677390514.pdf,false
ABIA,ISUIKWUATO,EZERE,ELUGWUNTA VILLAGE SQUARE - OBAYI,01/08/02/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/02/pu/011/011-1677363476.pdf,false
ABIA,ISUIKWUATO,EZERE,AMUZU VILLAGE SQUARE - AMUZU,01/08/02/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/02/pu/015/015-1677362605.pdf,false
ABIA,ISUIKWUATO,EZERE,ORIENDU MARKET SQUARE - OBAYI,01/08/02/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/02/pu/009/009-1677360877.pdf,false
