state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ABIA,ISUIKWUATO,,ONUAKU VI LLAGE SQUARE - ONUAKU,01/08/08/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3110/ward/17611/pu/1399/1399-1677580795.pdf,true
ABIA,ISUIKWUATO,,IKPAOKORO VILLAGE SQUARE - IKPAOKORO,01/08/08/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3110/ward/17611/pu/1406/1406-1677517272.pdf,false
ABIA,ISUIKWUATO,,OWERE AKPUKPA VILLAGE HALL,01/08/08/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3110/ward/17611/pu/127207/127207-1677502456.pdf,false
ABIA,ISUIKWUATO,,ONUAKU COMMUNITY SCHOOL,01/08/08/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3110/ward/17611/pu/127209/127209-1677498613.pdf,false
ABIA,ISUIKWUATO,,IHIAGU TOWN HALL NDUNDU,01/08/08/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3110/ward/17611/pu/127210/127210-1677497463.pdf,false
ABIA,ISUIKWUATO,,AMAEHUMA VILLAGE SQUARE - NDUNDU,01/08/08/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/08/pu/008/008-1677376015.pdf,false
ABIA,ISUIKWUATO,,NDUNDU MARKET SQUARE -  NDUNDU,01/08/08/004,,false
ABIA,ISUIKWUATO,,UMURATA VILLAGE SQUARE - UMURATA,01/08/08/007,,false
ABIA,ISUIKWUATO,,NDUNDU COMMUNITY SCHOOL -  NDUNDU,01/08/08/003,,false
ABIA,ISUIKWUATO,,AKPUKPA COMMUNITY SCHOOL - AKPUKPA,01/08/08/001,,false
ABIA,ISUIKWUATO,,AMAUKWU VILLAGE SQUARE - AKPUKPA,01/08/08/006,,false
ABIA,ISUIKWUATO,,AMUKAHIA VILLAGE SQUARE,01/08/08/011,,false
ABIA,ISUIKWUATO,,INTERNATIONAL SECONDARY SCHOOL - UTURU,01/08/08/005,,false
