state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ABIA,OHAFIA,OKAMU OHAFIA,NDI IDIKA OKORO COMPOUND - IDIKA  OKORO HALL,01/10/09/002,,false
ABIA,OHAFIA,OKAMU OHAFIA,OMAGHUZO LAYOUT - EMEHUNA HALL,01/10/09/004,,false
ABIA,OHAFIA,OKAMU OHAFIA,NDI UKA / EMEA / UKPAZU  - NDI UKA VILLAGE  SQUARE,01/10/09/007,,false
ABIA,OHAFIA,OKAMU OHAFIA,Okamu Ohafia,01/10/09/009,,false
ABIA,OHAFIA,OKAMU OHAFIA,Ndi Torti - Ndi Torti Hall,01/10/09/014,,false
ABIA,OHAFIA,OKAMU OHAFIA,NDI EZICHI COMPOUND - EZICHI COMPOUND HALL,01/10/09/012,,false
ABIA,OHAFIA,OKAMU OHAFIA,"Utuga Utuga - Umuando 
Village Square",01/10/09/019,,false
ABIA,OHAFIA,OKAMU OHAFIA,NDI UKO / EKEA / MBAULU COMPOUNDS -    NDI UKO HALL,01/10/09/017,,false
ABIA,OHAFIA,OKAMU OHAFIA,NDI ECHE COMPOUND - ECHE COMPOUND HALL,01/10/09/022,,false
ABIA,OHAFIA,OKAMU OHAFIA,OKAMU SEC. COM. SCHOOL II,01/10/09/024,,false
ABIA,OHAFIA,OKAMU OHAFIA,NDI OKA COMP. HALL,01/10/09/027,,false
ABIA,OHAFIA,OKAMU OHAFIA,NDI OWAN / UME COMPS - ANYAFUMBA HALL,01/10/09/001,,false
ABIA,OHAFIA,OKAMU OHAFIA,OKAMU SEC. COMM. SCH  - OKAMU SEC.  SCH,01/10/09/003,,false
ABIA,OHAFIA,OKAMU OHAFIA,OKON CENT. SEC. - OKON CENT. SEC.,01/10/09/005,,false
ABIA,OHAFIA,OKAMU OHAFIA,NDI UKE VILLAGE - NDI UKE VILLAGE SQUARE,01/10/09/008,,false
ABIA,OHAFIA,OKAMU OHAFIA,ALINJI / OBA NDI UMA / ISI OKU  - ALINJI SQUARE,01/10/09/006,,false
ABIA,OHAFIA,OKAMU OHAFIA,NDI AWA AMANGWU COMPOUND - NDI AWA HALL,01/10/09/013,,false
ABIA,OHAFIA,OKAMU OHAFIA,NDI MBILA COMPOUND - MBILA COMPOUND HALL,01/10/09/010,,false
ABIA,OHAFIA,OKAMU OHAFIA,NDI NCHEGHE VILLAGE - NCHEGHE COMPOUND HALL,01/10/09/011,,false
ABIA,OHAFIA,OKAMU OHAFIA,NDI EDEM COMPOUND - EDEM COMPOUND HALL,01/10/09/018,,false
ABIA,OHAFIA,OKAMU OHAFIA,AMBELE CENT. SCH. II - AMBELE CENT. SCH.,01/10/09/015,,false
ABIA,OHAFIA,OKAMU OHAFIA,NDIOKPO / EZIUKWU -  UDI OKPO HALL,01/10/09/016,,false
ABIA,OHAFIA,OKAMU OHAFIA,NDI EBIN COMPOUND - NDI EBIN HALL,01/10/09/023,,false
ABIA,OHAFIA,OKAMU OHAFIA,AMAOBA - AMAOBA VILLAGE HALL,01/10/09/020,,false
ABIA,OHAFIA,OKAMU OHAFIA,NDI CHIMA COMPOUND -  NDI CHIMA HALL,01/10/09/021,,false
ABIA,OHAFIA,OKAMU OHAFIA,NDI MBE COMPOUND HALL,01/10/09/026,,false
ABIA,OHAFIA,OKAMU OHAFIA,NDI ANAYAJA COMPOUND  HALL,01/10/09/025,,false
