state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ABIA,UKWA  WEST,,UMUABURU VILLAGE HALL,01/14/03/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/03/pu/010/010-1677424974.pdf,false
ABIA,UKWA  WEST,,UMUAZUTA VILLAGE HALL/UMUAZUTA,01/14/03/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/03/pu/009/009-1677424354.pdf,false
ABIA,UKWA  WEST,,OBIAWOM VILLAGE HALL/OBIAWOM,01/14/03/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/03/pu/008/008-1677423790.pdf,false
ABIA,UKWA  WEST,,OGWE TOWN  SCHOOL/OGWE V,01/14/03/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/03/pu/007/007-1677422911.pdf,false
ABIA,UKWA  WEST,,OGWE TOWN  SCHOOL/OGWE IV,01/14/03/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/03/pu/006/006-1677422170.pdf,false
ABIA,UKWA  WEST,,OGWE HEALTH CENTRE/OGWE I,01/14/03/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/03/pu/003/003-1677412504.pdf,false
ABIA,UKWA  WEST,,OBIAHIA PRIMARY SCHOOL / OBIAHIA  II,01/14/03/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/03/pu/002/002-1677411796.pdf,false
ABIA,UKWA  WEST,,OBIAHIA VILLAGE HALL/OBIAHA  I,01/14/03/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/03/pu/001/001-1677410961.pdf,false
ABIA,UKWA  WEST,,OGWE CENTRAL SCHOOL/OGWE II,01/14/03/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/03/pu/004/004-1677402028.pdf,false
ABIA,UKWA  WEST,,UMURAM VILLAGE HALL,01/14/03/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/03/pu/012/012-1677399235.pdf,false
ABIA,UKWA  WEST,,OGWE CENTRAL SCHOOL/OGWE III,01/14/03/005,,false
ABIA,UKWA  WEST,,OGWE - ORGWU VILLAGE HALL,01/14/03/011,,false
