state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ABIA,UKWA  WEST,IPU  EAST,OBEHIE CENTRAL SCHOOL IV,01/14/07/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3116/ward/17672/pu/127658/127658-1677490119.pdf,false
ABIA,UKWA  WEST,IPU  EAST,OBECHIE CENTRAL SCHOOL V,01/14/07/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3116/ward/17672/pu/127659/127659-1677489206.pdf,false
ABIA,UKWA  WEST,IPU  EAST,UMUDIOBIA I / UMUDIOBIA C.P.S,01/14/07/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3116/ward/17672/pu/2210/2210-1677487559.pdf,false
ABIA,UKWA  WEST,IPU  EAST,OBECHIE CENTRAL SCHOOL / OBECHIE I,01/14/07/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3116/ward/17672/pu/2208/2208-1677486358.pdf,false
ABIA,UKWA  WEST,IPU  EAST,OBECHIE VILLAGE HALL / OBECHIE II,01/14/07/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3116/ward/17672/pu/2209/2209-1677483264.pdf,false
ABIA,UKWA  WEST,IPU  EAST,UMUDIOBIA MARKET SQUARE / UMUDIOBIA II,01/14/07/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3116/ward/17672/pu/2211/2211-1677476264.pdf,false
ABIA,UKWA  WEST,IPU  EAST,OBEHIE CENTRAL SCHOOL / OBEHIE IV,01/14/07/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/07/pu/006/006-1677366897.pdf,false
ABIA,UKWA  WEST,IPU  EAST,OBEHIE TOWN HALL,01/14/07/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/07/pu/009/009-1677364156.pdf,false
ABIA,UKWA  WEST,IPU  EAST,OBEHIE CENTRAL SCHOOL / OBEHIE II,01/14/07/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/07/pu/005/005-1677362094.pdf,false
ABIA,UKWA  WEST,IPU  EAST,OBEHIE HEALTH CENTRE I,01/14/07/011,,false
ABIA,UKWA  WEST,IPU  EAST,UMUDOBIA  VILLAGE HALL,01/14/07/010,,false
ABIA,UKWA  WEST,IPU  EAST,OBEHIE HEALTH CENTRE II,01/14/07/012,,false
