state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
DELTA,ANIOCHA NORTH,,UGBA  P/S - OGBE KENU  QUARTERS I,10/01/04/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19692/pu/28693/28693-1677455770.pdf,false
DELTA,ANIOCHA NORTH,,IDUMUJE QTRS OPPOSITE ST THERESA CHURCH,10/01/04/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19692/pu/136164/136164-1677455511.pdf,false
DELTA,ANIOCHA NORTH,,UMUOLO QTRS NEAR ANGLICAN CHURCH 1,10/01/04/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19692/pu/136161/136161-1677455060.pdf,false
DELTA,ANIOCHA NORTH,,OGBE-KENU QTRS OPPOSITE ST THERESA CHURCH 11,10/01/04/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19692/pu/136167/136167-1677454662.pdf,false
DELTA,ANIOCHA NORTH,,UGBA PRY SCH OGBE KENU  QTRS I,10/01/04/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19692/pu/136165/136165-1677454250.pdf,false
DELTA,ANIOCHA NORTH,,UGBA PRY SCH OGBE KENU  QTRS I,10/01/04/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19692/pu/136166/136166-1677453550.pdf,false
DELTA,ANIOCHA NORTH,,IYIOGBE P/S - UMUOLO QUARTERS I,10/01/04/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19692/pu/28689/28689-1677453235.pdf,false
DELTA,ANIOCHA NORTH,,UGBA  P/S - AGBA  QUARTERS,10/01/04/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19692/pu/28695/28695-1677452797.pdf,false
DELTA,ANIOCHA NORTH,,OGBE OBI QTRS OPPOSITE ANGLICAN CHURCH 1,10/01/04/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19692/pu/136162/136162-1677452426.pdf,false
DELTA,ANIOCHA NORTH,,TOWN HALL UMUOLO QTRS ONICHA OLONA,10/01/04/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19692/pu/136160/136160-1677451993.pdf,false
DELTA,ANIOCHA NORTH,,UGBA  P/S - IDUMUJE  QUARTERS,10/01/04/005,https://docs.inecelectionresults.net/elections/1292/1677451446-28692.pdf,false
DELTA,ANIOCHA NORTH,,TOWN HALL UMUOLO QTRS ONICHA OLONA,10/01/04/010,https://docs.inecelectionresults.net/elections/1292/1677451049-136159.pdf,false
DELTA,ANIOCHA NORTH,,OGBE -OBI QTRS OPPOSITE ANGLICAN CHURCH 11,10/01/04/014,https://docs.inecelectionresults.net/elections/1292/1677450580-136163.pdf,false
DELTA,ANIOCHA NORTH,,UGBA PRY SCH AGBA QTRS,10/01/04/019,https://docs.inecelectionresults.net/elections/1292/1677450012-136168.pdf,false
DELTA,ANIOCHA NORTH,,IYIOGBE P/S - UMUOLO QUARTERS II,10/01/04/003,https://docs.inecelectionresults.net/elections/1292/1677449445-28690.pdf,false
DELTA,ANIOCHA NORTH,,UGBA  P/S - OGBE KENU  QUARTERS II,10/01/04/007,https://docs.inecelectionresults.net/elections/1292/1677448961-28694.pdf,false
DELTA,ANIOCHA NORTH,,IYIOGBE P/S - OGBE - OBI QUARTERS,10/01/04/004,https://docs.inecelectionresults.net/elections/1292/1677448532-28691.pdf,false
DELTA,ANIOCHA NORTH,,IYIOGBE P/S - ISHIEKPE QUARTERS,10/01/04/001,https://docs.inecelectionresults.net/elections/1292/1677448152-28688.pdf,false
DELTA,ANIOCHA NORTH,,TOWN HALL ISHIEKPE QTRS ONICHA OLONA,10/01/04/009,https://docs.inecelectionresults.net/elections/1292/1677447664-136158.pdf,false
