state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
DELTA,ETHIOPE  EAST,,ABRAKA  P.O/ABRAKA  MODEL  P/S  I,10/05/01/003,,false
DELTA,ETHIOPE  EAST,,ABRAKA  P.O/ABRAKA  G/S,10/05/01/008,,false
DELTA,ETHIOPE  EAST,,ABRAKA  P.O/ABRAKA  JUNCTION,10/05/01/001,,false
DELTA,ETHIOPE  EAST,,ABRAKA/OGBEJI VILLAGE,10/05/01/013,,false
DELTA,ETHIOPE  EAST,,LGA SURE-P STORES,10/05/01/018,,false
DELTA,ETHIOPE  EAST,,ABRAKA  P.O/ASCAN  HALL,10/05/01/006,,false
DELTA,ETHIOPE  EAST,,"GENERAL HOSPITAL, ABRAKA",10/05/01/023,,false
DELTA,ETHIOPE  EAST,,URHUOKA/URHUOKA P/S  II,10/05/01/011,,false
DELTA,ETHIOPE  EAST,,EKREJETA TOWN HALL,10/05/01/016,,false
DELTA,ETHIOPE  EAST,,OPEN SPACE BY UNICEF WATERBOARD,10/05/01/028,,false
DELTA,ETHIOPE  EAST,,DELSU AUDITORIUMCAMPUS III,10/05/01/021,,false
DELTA,ETHIOPE  EAST,,EKREJETA/EKREJETA  P/S,10/05/01/005,,false
DELTA,ETHIOPE  EAST,,"URHUOAKA MATERNITY CENTRE, URHUOAKA",10/05/01/026,,false
DELTA,ETHIOPE  EAST,,URHUOKA/OGUEZI  VILLAGE,10/05/01/010,,false
DELTA,ETHIOPE  EAST,,OPEN SPACE BY LEMMY GRACE-NUT ROAD JUNCTION,10/05/01/015,,false
DELTA,ETHIOPE  EAST,,OPEN SPACE BY AMUKU CLOSE JUNCTION,10/05/01/020,,false
DELTA,ETHIOPE  EAST,,URHUOAKA P/S III,10/05/01/025,,false
DELTA,ETHIOPE  EAST,,ABRAKA  P.O/CAMPUS  HALL,10/05/01/002,,false
DELTA,ETHIOPE  EAST,,ABRAKA  P.O/AVWAEKA  P/S,10/05/01/007,,false
DELTA,ETHIOPE  EAST,,ABRAKA/FRONT  OF CAMPUS,10/05/01/012,,false
DELTA,ETHIOPE  EAST,,DELSU CAMPUS I SMALL GATE,10/05/01/017,,false
DELTA,ETHIOPE  EAST,,OPEN SPACE BY COLLEGE ROAD BUS STOP,10/05/01/022,,false
DELTA,ETHIOPE  EAST,,URHUOAKA SECONDARY SCH. URHUOAKA,10/05/01/027,,false
DELTA,ETHIOPE  EAST,,ABRAKA  P.O/ABRAKA  MODEL  P/S  II,10/05/01/004,,false
DELTA,ETHIOPE  EAST,,URHUOKA/URHUOKA P/S  HALL  I,10/05/01/009,,false
DELTA,ETHIOPE  EAST,,OPEN SPACE BY LUCAS JUNCTION,10/05/01/014,,false
DELTA,ETHIOPE  EAST,,OPEN SPACE BY AGBARA STREET JUNCTION,10/05/01/019,,false
DELTA,ETHIOPE  EAST,,PRIMARY HEALTH CARE CENTRE,10/05/01/024,,false
