state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
DELTA,IKA - SOUTH,ABAVO I,"OYOKO PRIMARY SCHOOL, OYOKO/AYIMA II",10/08/10/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/29764/result_145743_1677579558_thumb.jpg,false
DELTA,IKA - SOUTH,ABAVO I,"AZUOWA PRIMARY SCHOOL, OYOKO/AYIMA I",10/08/10/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/29766/result_145745_1677579815_thumb.jpg,false
DELTA,IKA - SOUTH,ABAVO I,"ANYIMA PRIMARY SCHOOL, OYOKO/AYIMA II",10/08/10/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/29770/result_145749_1677580292_thumb.jpg,false
DELTA,IKA - SOUTH,ABAVO I,"ANYIMA PRIMARY SCHOOL, OYOKO/AYIMA I",10/08/10/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/29769/result_145748_1677580109_thumb.jpg,false
DELTA,IKA - SOUTH,ABAVO I,"OYOKO PRIMARY SCHOOL, OYOKO/AYIMA I",10/08/10/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/29763/result_145742_1677579333_thumb.jpg,false
DELTA,IKA - SOUTH,ABAVO I,OKPE COMMUNITY HALL ABAVO I,10/08/10/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/629305/result_145751_1677580494_thumb.jpg,false
DELTA,IKA - SOUTH,ABAVO I,"ANYIMA PRIMARY SCHOOL, OYOKO/AYIMA III",10/08/10/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/29771/result_145750_1677580394_thumb.jpg,false
DELTA,IKA - SOUTH,ABAVO I,"AZUOWA PRIMARY SCHOOL, OYOKO/AYIMA II",10/08/10/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/29767/result_145746_1677579906_thumb.jpg,false
DELTA,IKA - SOUTH,ABAVO I,"AZUOWA TOWN HALL, OYOKO/AYIMA",10/08/10/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/29768/result_145747_1677580022_thumb.jpg,false
DELTA,IKA - SOUTH,ABAVO I,"OYOKO TOWN HALL, OYOKO/AYIMA",10/08/10/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/29765/result_145744_1677579662_thumb.jpg,false
DELTA,IKA - SOUTH,ABAVO I,"EKWUEZE PRIMARY SCHOOL, ABAVO I",10/08/10/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/629306/result_145752_1677580597_thumb.jpg,false
