state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
DELTA,ISOKO SOUTH,,OPEN SPACE  OPP MACAULEY JUNCTION OKUOWA LAYOUT,10/10/06/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/629526/result_146203_1677684861_thumb.jpg,false
DELTA,ISOKO SOUTH,,"OLD OLEH ROAD OLOMORO BY UKOLI QUARTER, OLOMORO",10/10/06/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/629525/result_146202_1677684797_thumb.jpg,false
DELTA,ISOKO SOUTH,,"URUOTIE HALL, UKOLI QUARTERS",10/10/06/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/629524/result_146201_1677684741_thumb.jpg,false
DELTA,ISOKO SOUTH,,OPEN SPACE BY EKROKIE STREET JUNCTION,10/10/06/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/629523/result_146200_1677684680_thumb.jpg,false
DELTA,ISOKO SOUTH,,"OPEN SPACE/EKREMEHA JUNCTION, ALONG OLD OLOMORO/OLEH ROAD",10/10/06/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/629522/result_146199_1677684614_thumb.jpg,false
DELTA,ISOKO SOUTH,,OWHOLOMU PRIMARY SCCHOOL UKOLI,10/10/06/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/629521/result_146198_1677684544_thumb.jpg,false
DELTA,ISOKO SOUTH,,OPEN SPACE UZUDE  URUABE QUARTERS,10/10/06/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/629520/result_146197_1677684467_thumb.jpg,false
DELTA,ISOKO SOUTH,,AKA HALL URUABE COMMUNITY OLOMORO,10/10/06/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/629519/result_146196_1677684398_thumb.jpg,false
DELTA,ISOKO SOUTH,,OTOMOREME HALL URUABE,10/10/06/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/629518/result_146195_1677684338_thumb.jpg,false
DELTA,ISOKO SOUTH,,ENURU HALL URUABE,10/10/06/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/629517/result_146194_1677684271_thumb.jpg,false
DELTA,ISOKO SOUTH,,"ETESO HALL, UKOLI QUARTERS II",10/10/06/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/30051/result_146193_1677684207_thumb.jpg,false
DELTA,ISOKO SOUTH,,"OKPE VILLAGE HALL, OKPE VILLAGE",10/10/06/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/30050/result_146192_1677684077_thumb.jpg,false
DELTA,ISOKO SOUTH,,"IWRIDE VILLAGE HALL, IWRIDE VILLAGE",10/10/06/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/30049/result_146191_1677683998_thumb.jpg,false
DELTA,ISOKO SOUTH,,"OVIRI VILLAGE HALL, OVIRI VILLAGE",10/10/06/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/30048/result_146190_1677683937_thumb.jpg,false
DELTA,ISOKO SOUTH,,"IKIAGBODO HALL, IKIAGBODO, IVIRI, IWRIDE",10/10/06/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/30047/result_146189_1677683868_thumb.jpg,false
DELTA,ISOKO SOUTH,,"AKOKOTU HALL, EGBO QUARTERS",10/10/06/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/30046/result_146188_1677683796_thumb.jpg,false
DELTA,ISOKO SOUTH,,"AKOKOTU HALL, EGBO QUARTERS",10/10/06/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/30045/result_146187_1677683736_thumb.jpg,false
DELTA,ISOKO SOUTH,,"EKRETU HALL, EGBO QUARTERS",10/10/06/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/30044/result_146186_1677683669_thumb.jpg,false
DELTA,ISOKO SOUTH,,"URUWHORU HALL, EGBO QUARTERS",10/10/06/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/30043/result_146185_1677683610_thumb.jpg,false
DELTA,ISOKO SOUTH,,"ENURU  HALL, UKOLI QUARTERS",10/10/06/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/30042/result_146184_1677683524_thumb.jpg,false
DELTA,ISOKO SOUTH,,"EVIEWHO  HALL, UKOLI QUARTERS",10/10/06/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/30041/result_146183_1677683451_thumb.jpg,false
DELTA,ISOKO SOUTH,,"ETESO HALL, UKOLI QUARTERS I",10/10/06/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/30040/result_146182_1677683385_thumb.jpg,false
DELTA,ISOKO SOUTH,,"OLOMORO PRIMARY SCHOOL, URUABE QUARTERS",10/10/06/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/30039/result_146181_1677683320_thumb.jpg,false
DELTA,ISOKO SOUTH,,"EKREWOLOWO HALL, URUABE QUARTERS",10/10/06/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/30038/result_146180_1677683249_thumb.jpg,false
