state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
DELTA,UDU,,OGBE-UDU COMMUNITY T/H,10/18/03/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/630246/result_147790_1677784795_thumb.jpg,false
DELTA,UDU,,UDVWUHWEDIE TOWN HALL,10/18/03/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/630245/result_147789_1677784392_thumb.jpg,false
DELTA,UDU,,EWHERHI QUARTER HALL,10/18/03/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/630244/result_147788_1677783690_thumb.jpg,false
DELTA,UDU,,AVWUYOVIDJE QUARTER HALL,10/18/03/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/630243/result_147787_1677713622_thumb.jpg,false
DELTA,UDU,,EKRIBOVWE OPEN SPACE,10/18/03/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/630242/result_147786_1677713379_thumb.jpg,false
DELTA,UDU,,"UKPIOVWIN TOWN HALL,  UKPIOVWIN",10/18/03/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31026/result_147785_1677712805_thumb.jpg,false
DELTA,UDU,,"UKPIOVWIN PRIMARY SCHOOL, UKPIOVWIN II",10/18/03/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31025/result_147784_1677712366_thumb.jpg,false
DELTA,UDU,,"UKPIOVWIN PRIMARY SCHOOL, UKPIOVWIN I",10/18/03/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31024/result_147783_1677711597_thumb.jpg,false
DELTA,UDU,,"WATERSIDE TOWN HALL, OKOLOR WATERSIDE",10/18/03/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31023/result_147782_1677711377_thumb.jpg,false
DELTA,UDU,,"INLAND TOWN HALL, OKOLOR INLAND I",10/18/03/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31022/result_147781_1677710991_thumb.jpg,false
DELTA,UDU,,"EKREGHELE  TOWN HALL, OGBE -UDU",10/18/03/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31021/result_147780_1677710545_thumb.jpg,false
DELTA,UDU,,"OGBE-UDU  TOWN HALL, OGBE -UDU",10/18/03/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31020/result_147779_1677709535_thumb.jpg,false
DELTA,UDU,,"OGBE-UDU PRIMARY SCHOOL, OGBE -UDU",10/18/03/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31019/result_147778_1677709222_thumb.jpg,false
