state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
DELTA,UGHELLI SOUTH,JEREMI  III,"OTOR-OKWAGBE TOWN HALL,OTOR-OKWAGBE",10/20/10/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31481/result_148619_1677516241_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,"ERHOBE HALL, OTOR-OKWAGBE",10/20/10/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/630493/result_148632_1677518048_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,IVIAJE  HALL  OKWAGBE WATERSIDE,10/20/10/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31488/result_148626_1677517079_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,"POST OFFICE, IVIAJE, OKWAGBE WATERSIDE",10/20/10/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/630496/result_148635_1677518299_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,"IDJOGUN HALL II, OKWAGBE WATERSIDE",10/20/10/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31487/result_148625_1677516993_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,"OPEN SPACE BY EBOH -EDJAVWE,
OTOR-OKWAGBE",10/20/10/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/630492/result_148631_1677517911_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,"EDJARWVWE HALL, OTOR-OKWAGBE",10/20/10/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31485/result_148623_1677516640_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,"IDJOGUN  HALL,  OKWAGBE WATERSIDE",10/20/10/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31486/result_148624_1677516707_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,"BABA - IDO PRIMARY SCHOOL, OKWAGBE WATERSIDE",10/20/10/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31490/result_148628_1677517349_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,"IWHRE-AKPO HALL, OKWAGBE WATERSIDE",10/20/10/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/630497/result_148636_1677518378_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,"EDJAVWE HALL, OTOR - OKWAGBE",10/20/10/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31484/result_148622_1677516513_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,"OKWAGBE PRIMARY SCHOOL, OKWAGBE",10/20/10/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/630491/result_148630_1677517502_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,"IMIGBU REST HOUSE, OTOR - OKWAGBE",10/20/10/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31482/result_148620_1677516324_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,"IMIGBU HALL, OTOR - OKWAGBE",10/20/10/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31483/result_148621_1677516405_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,"SPEED BOAT PARK, IDJOGUN, OKWAGBE WATERSIDE",10/20/10/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/630495/result_148634_1677518225_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,"AKPO  I  HALL, OKWAGBE WATERSIDE",10/20/10/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31489/result_148627_1677517189_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,"OKOH HALL, IDJOGUN EKPERE, OKWAGBE WATERSIDE",10/20/10/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/630494/result_148633_1677518122_thumb.jpg,true
DELTA,UGHELLI SOUTH,JEREMI  III,"MARKET SQUARE, OKWAGBE WATERSIDE",10/20/10/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/31491/result_148629_1677517430_thumb.jpg,true
