state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
DELTA,UKWUANI,,AKASHIEDE GIRLS SEC SCH I,10/21/10/026,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/026/026-1677401940.pdf,false
DELTA,UKWUANI,,OPEN SPACE UMUSUME WATER PROJECT,10/21/10/023,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/023/023-1677393892.pdf,false
DELTA,UKWUANI,,OPEN SPACE OPP ANGLICAN CATHEDRAL OBIARUKU,10/21/10/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/019/019-1677390066.pdf,false
DELTA,UKWUANI,,MODEL PRY SCH OBIARUKU II,10/21/10/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/018/018-1677390052.pdf,false
DELTA,UKWUANI,,OPEN SPACE UTAGBA-UNO JUNCTION,10/21/10/025,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/025/025-1677369795.pdf,false
DELTA,UKWUANI,,OPEN SPACE OPP FORTE OIL UPPER AMAI RD OBIARUKU,10/21/10/032,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/032/032-1677368935.pdf,false
DELTA,UKWUANI,,MODEL PRY SCH OBIARUKU I,10/21/10/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/017/017-1677368819.pdf,false
DELTA,UKWUANI,,OBIARUKU  II   EMENI  PRIMARY SCHOOL I,10/21/10/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/001/001-1677367948.pdf,false
DELTA,UKWUANI,,OBIARUKU  II   ESUME  UKU  PRIMARY  SCHOOL III,10/21/10/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/009/009-1677367920.pdf,false
DELTA,UKWUANI,,OBIARUKU GRAMMAR SCH III,10/21/10/030,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/030/030-1677367353.pdf,false
DELTA,UKWUANI,,OBIARUKU  II   ESUME  UKU  PRIMARY  SCHOOL I,10/21/10/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/007/007-1677367278.pdf,false
DELTA,UKWUANI,,OPEN SPACE AGBANGA JUNCTION OBIARUKU,10/21/10/033,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/033/033-1677367119.pdf,false
DELTA,UKWUANI,,ULTRA MODERN MARKET,10/21/10/028,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/028/028-1677366961.pdf,false
DELTA,UKWUANI,,OBIARUKU  II   OBI - OGWA  UGBE II,10/21/10/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/012/012-1677366875.pdf,false
DELTA,UKWUANI,,HEALTH CENTRE OKUZU II,10/21/10/029,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/029/029-1677366772.pdf,false
DELTA,UKWUANI,,OBIARUKU  II   OBIARUKU  GRAMMAR  SCHOOL I,10/21/10/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/015/015-1677366027.pdf,false
DELTA,UKWUANI,,OPEN SPACE DESOPADEC JUNCTION OBIARUKU,10/21/10/031,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/031/031-1677365933.pdf,false
DELTA,UKWUANI,,OPEN SPACE OGBO-UKU JUNCTION OBIARUKU,10/21/10/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/020/020-1677365723.pdf,false
DELTA,UKWUANI,,EZE-EGBUOCHU PRY SCH I,10/21/10/021,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/021/021-1677365364.pdf,false
DELTA,UKWUANI,,OBIARUKU  II   EMENI  PRIMARY SCHOOL VI,10/21/10/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/006/006-1677364867.pdf,false
DELTA,UKWUANI,,OBIARUKU  II   OBI - OGWA  OKUZU I,10/21/10/013,,false
DELTA,UKWUANI,,OBIARUKU  II   OBI - OGWA  UGBE I,10/21/10/011,,false
DELTA,UKWUANI,,OBIARUKU  II   OBIARUKU  GRAMMAR  SCHOOL II,10/21/10/016,,false
DELTA,UKWUANI,,OBIARUKU  II   OBI - OGWA  OKUZU II,10/21/10/014,,false
DELTA,UKWUANI,,EZE-EGBUOCHU PRY SCH II,10/21/10/022,,false
DELTA,UKWUANI,,"OPEN SPACE UMUSUME CIVIC CENTRE, BY ECOBANK",10/21/10/024,,false
DELTA,UKWUANI,,AKASHIEDE GIRLS SEC SCH II,10/21/10/027,,false
DELTA,UKWUANI,,OBIARUKU  II   EMENI  PRIMARY SCHOOL III,10/21/10/003,,false
DELTA,UKWUANI,,OBIARUKU  II   ESUME  UKU  PRIMARY  SCHOOL II,10/21/10/008,,false
DELTA,UKWUANI,,OBIARUKU  II   EMENI  PRIMARY SCHOOL II,10/21/10/002,,false
DELTA,UKWUANI,,OBIARUKU  II   EMENI  PRIMARY SCHOOL IV,10/21/10/004,,false
DELTA,UKWUANI,,OBIARUKU  II   EMENI  PRIMARY SCHOOL V,10/21/10/005,,false
DELTA,UKWUANI,,OBIARUKU  II   ESUME  UKU  PRIMARY  SCHOOL IV,10/21/10/010,,false
