state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
DELTA,WARRI SOUTH  WEST,OPOROZA,OKPELEAMA ZION PLAYGROUND,10/25/03/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/631085/result_149783_1677748233_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,OKPELEAMA DUMOIDUMA TOWN HALL,10/25/03/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/631084/result_149782_1677748141_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,OKPELEAMA EBABENKORO PLAYGROUND,10/25/03/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/631083/result_149781_1677748087_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,KALA IKPOKPO TOWN HALL,10/25/03/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/631082/result_149780_1677748033_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,OKPELEMA EBEBENKORO PLAYGROUND,10/25/03/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/631081/result_149779_1677747966_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,OLUKPEREBU SARABUBOR TOWN HALL,10/25/03/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/631080/result_149778_1677747884_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,GBARAUN GRAMMAR SCHOOL,10/25/03/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/631079/result_149777_1677747811_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,TANGBE IDUMU PLAY GROUND,10/25/03/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/631078/result_149776_1677747741_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,OPUEDEBUBOR TOWN HALL,10/25/03/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/631077/result_149775_1677747623_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,OPUEDE TOWN HALL,10/25/03/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/631076/result_149774_1677747519_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,IGBORUGBO PRIMARY SCHOOL OPUEDE,10/25/03/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/631075/result_149773_1677747439_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,NEW JERUSLEM ZION II,10/25/03/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/631074/result_149772_1677747271_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,BARUGU TOWN HALL,10/25/03/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/631073/result_149771_1677747098_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,AMASEIMOKUMOR TOWN HALL,10/25/03/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/631072/result_149770_1677747030_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,OKPEL-AMA  PRIMARY SCHOOL II,10/25/03/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/32109/result_149769_1677746926_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,OKPELE-AMA  PRIMARY SCHOOL I,10/25/03/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/32108/result_149768_1677746829_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,IKOKO  TOWN  HALL,10/25/03/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/32107/result_149767_1677746712_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,TEBUJOR TOWN  HALL,10/25/03/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/32106/result_149766_1677746291_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,UBURU TOWN  HALL,10/25/03/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/32105/result_149765_1677746165_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,UBABIRI TOWN  HALL,10/25/03/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/32104/result_149764_1677746055_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,OPUEDEBUDO  PRIMARY SCHOOL,10/25/03/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/32103/result_149763_1677745931_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,OPUEDE NEW JERUSALEM,10/25/03/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/32102/result_149762_1677745857_thumb.jpg,false
DELTA,WARRI SOUTH  WEST,OPOROZA,OPOROZA PRIMARY SCHOOL,10/25/03/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/32101/result_149761_1677745725_thumb.jpg,false
