state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
EBONYI,IKWO,ENYIBICHIRI,NGAMGBO NWURUKU P/G,11/07/06/026,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/138920/138920-1677691327.pdf,false
EBONYI,IKWO,ENYIBICHIRI,NDIOSOPO PLAY GROUND,11/07/06/025,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/138919/138919-1677690874.pdf,false
EBONYI,IKWO,ENYIBICHIRI,UKWU OJA PLAY GROUND,11/07/06/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/138918/138918-1677690685.pdf,false
EBONYI,IKWO,ENYIBICHIRI,UBIA â€“AKPRATA PLAY GROUND,11/07/06/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/138917/138917-1677690496.pdf,false
EBONYI,IKWO,ENYIBICHIRI,NDIODUMA PLAY GROUND,11/07/06/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/138916/138916-1677690123.pdf,false
EBONYI,IKWO,ENYIBICHIRI,NDIOFFIA PLAY GROUND,11/07/06/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/138915/138915-1677689904.pdf,false
EBONYI,IKWO,ENYIBICHIRI,NWIJIKA PLAY GROUND,11/07/06/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/138914/138914-1677689623.pdf,true
EBONYI,IKWO,ENYIBICHIRI,ONU-OGIJI PLAYGROUND,11/07/06/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/138913/138913-1677689536.pdf,false
EBONYI,IKWO,ENYIBICHIRI,NGANGBO AMARA PLAY GROUND,11/07/06/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/138912/138912-1677689447.pdf,false
EBONYI,IKWO,ENYIBICHIRI,NDIJI AKPU PLAY GROUND,11/07/06/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/33117/33117-1677689343.pdf,true
EBONYI,IKWO,ENYIBICHIRI,NDINWESA PLAY GROUND,11/07/06/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/33116/33116-1677689198.pdf,false
EBONYI,IKWO,ENYIBICHIRI,NDIAKPARATA NDINWESA,11/07/06/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/33115/33115-1677688643.pdf,false
EBONYI,IKWO,ENYIBICHIRI,OJON MARKET SQUARE,11/07/06/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/33114/33114-1677688513.pdf,false
EBONYI,IKWO,ENYIBICHIRI,NKALEKE PLAY GROUND,11/07/06/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/33113/33113-1677688442.pdf,true
EBONYI,IKWO,ENYIBICHIRI,C.S ODARIKO,11/07/06/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/33112/33112-1677688323.pdf,false
EBONYI,IKWO,ENYIBICHIRI,NDIECHI PLAY GROUND,11/07/06/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/33109/33109-1677688070.pdf,false
EBONYI,IKWO,ENYIBICHIRI,EBUSIKE PLAY GROUND II,11/07/06/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/33108/33108-1677687987.pdf,false
EBONYI,IKWO,ENYIBICHIRI,EBUSIKE PLAY GROUND I,11/07/06/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/33107/33107-1677687892.pdf,false
EBONYI,IKWO,ENYIBICHIRI,EDUKWU OBOVU NDIAGUAZU PLAY GROUND,11/07/06/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/33106/33106-1677687664.pdf,true
EBONYI,IKWO,ENYIBICHIRI,NDUBIA PLAY GROUND,11/07/06/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/33105/33105-1677687433.pdf,false
EBONYI,IKWO,ENYIBICHIRI,MGBEDE PLAY GROUND,11/07/06/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/33104/33104-1677687315.pdf,false
EBONYI,IKWO,ENYIBICHIRI,UKWU MANGO OBEGU OHATEKWE,11/07/06/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/33103/33103-1677687222.pdf,false
EBONYI,IKWO,ENYIBICHIRI,EDUKWU OHATEKWE PLAY GROUND,11/07/06/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/33102/33102-1677687075.pdf,false
EBONYI,IKWO,ENYIBICHIRI,C.S NDIAGUAZIU,11/07/06/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3320/ward/20036/pu/33101/33101-1677686608.pdf,false
EBONYI,IKWO,ENYIBICHIRI,C.S ENYIBICHIRI,11/07/06/011,,false
EBONYI,IKWO,ENYIBICHIRI,EDUKWU AKPURU NKELE,11/07/06/010,,false
