state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
EBONYI,ISHIELU,EZZAGU I (OGBOJI),ENYIBICHIRI MARKET SQUARE 1,11/08/07/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/33278/result_150706_1677753539_thumb.jpg,false
EBONYI,ISHIELU,EZZAGU I (OGBOJI),EBUSIKE PRI. SCHOOL,11/08/07/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/632208/result_150718_1677753452_thumb.jpg,false
EBONYI,ISHIELU,EZZAGU I (OGBOJI),ENYIBICHIRI MARKET SQUARE 11,11/08/07/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/33279/result_150707_1677751894_thumb.jpg,false
EBONYI,ISHIELU,EZZAGU I (OGBOJI),AGUOTU PRIMARY SCHOOL,11/08/07/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/33282/result_150710_1677527918_thumb.jpg,true
EBONYI,ISHIELU,EZZAGU I (OGBOJI),NGAMGBO OLA PLAY GROUND,11/08/07/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/33283/result_150711_1677526820_thumb.jpg,true
EBONYI,ISHIELU,EZZAGU I (OGBOJI),ONUNWANKWO EGUCHA KURU MARKET SQUARE,11/08/07/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/33287/result_150715_1677525916_thumb.jpg,true
EBONYI,ISHIELU,EZZAGU I (OGBOJI),NWEKE OHUHU MARKET SQUARE,11/08/07/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/33280/result_150708_1677523552_thumb.jpg,true
EBONYI,ISHIELU,EZZAGU I (OGBOJI),NOME ONWE PLAY GROUND HALL,11/08/07/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3321/ward/20057/pu/33291/33291-1677607460.pdf,true
EBONYI,ISHIELU,EZZAGU I (OGBOJI),NGAMGBO EGUELI P/G,11/08/07/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/632214/result_150724_1677602740_thumb.jpg,false
EBONYI,ISHIELU,EZZAGU I (OGBOJI),AGUOGUJI NGAMGBO MBABA PLAY GROUND,11/08/07/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3321/ward/20057/pu/139037/139037-1677601304.pdf,false
EBONYI,ISHIELU,EZZAGU I (OGBOJI),AGUHO PRIMARY SCHOOL,11/08/07/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/33284/result_150712_1677596367_thumb.jpg,false
EBONYI,ISHIELU,EZZAGU I (OGBOJI),ENYIBICHIRI  P/G,11/08/07/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3321/ward/20057/pu/139033/139033-1677593080.pdf,true
EBONYI,ISHIELU,EZZAGU I (OGBOJI),ONUNWANKWO EKECHI PLAY GROUND,11/08/07/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
EBONYI,ISHIELU,EZZAGU I (OGBOJI),ONUNWANKWO OHINYA MKT SQUARE II,11/08/07/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/632210/result_150720_1677578200_thumb.jpg,true
EBONYI,ISHIELU,EZZAGU I (OGBOJI),ONUNWANKWO OHINYA MARKET SQUARE,11/08/07/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3321/ward/20057/pu/33295/33295-1677530131.pdf,false
EBONYI,ISHIELU,EZZAGU I (OGBOJI),NGAMGBO UHUOLA PLAY GROUND,11/08/07/001,,false
EBONYI,ISHIELU,EZZAGU I (OGBOJI),ONUNWEKE UBIA MKT SQUARE,11/08/07/016,,false
EBONYI,ISHIELU,EZZAGU I (OGBOJI),OGBOJI CENTRAL SCHOOL EZZAGU,11/08/07/019,,false
EBONYI,ISHIELU,EZZAGU I (OGBOJI),NWEKE OHUHU MARKET,11/08/07/002,,false
EBONYI,ISHIELU,EZZAGU I (OGBOJI),NWEKE ELOJI ONUEBONYI MARKET SQUARE,11/08/07/020,,false
EBONYI,ISHIELU,EZZAGU I (OGBOJI),OHUHU PRI.  SCHOOL,11/08/07/013,,false
