state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
EDO,AKOKO EDO,IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,"IBILLO,  BY OBA'S HS.",12/01/04/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3327/ward/20133/pu/34115/34115-1677821902.pdf,true
EDO,AKOKO EDO,IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,OPEN SPACE FRONT OF OWOLABI'S HOUSE,12/01/04/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/016/016-1677422525.pdf,false
EDO,AKOKO EDO,IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,"IKIRAN,  BY OSOGBO HS",12/01/04/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/013/013-1677418978.pdf,false
EDO,AKOKO EDO,IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,OPEN SPACE FRONT OF ERIKITOLA'S COMPOUND,12/01/04/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/015/015-1677418478.pdf,false
EDO,AKOKO EDO,IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,"OPEN SPACE OPPOSITE BALOGUN'S HOUSE, IKIRAN ILE",12/01/04/029,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/029/029-1677417969.pdf,false
EDO,AKOKO EDO,IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,"IBILLO,  BY CHIEF GIWA'S HS.",12/01/04/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/004/004-1677416874.pdf,false
EDO,AKOKO EDO,IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,"IBILL, O EFOLO P/S.",12/01/04/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/008/008-1677416173.pdf,false
EDO,AKOKO EDO,IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,"EKOR, OPEN SPACE - FRONT OF AJOGUN'S COMP",12/01/04/027,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/027/027-1677416059.pdf,false
EDO,AKOKO EDO,IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,"OPEN SPACE OPPOSITE BAJOGUN'S HOUSE, IKIRAN ILE",12/01/04/028,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/028/028-1677415300.pdf,false
EDO,AKOKO EDO,IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,"IBILLO, OPEN SPACE -FRONT OF EKUNDAYO FAMILY COMP.",12/01/04/025,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/025/025-1677415075.pdf,false
