state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
EDO,IKPOBA/OKHA,,"OPEN SPACE, UGBEKUN MARKET IV",12/11/07/066,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/633502/result_154516_1677630343_thumb.jpg,false
EDO,IKPOBA/OKHA,,"ENIKARO, UGBEKUN HEALTH CENTRE II",12/11/07/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/35349/result_154462_1677492296_thumb.jpg,true
EDO,IKPOBA/OKHA,,UGBEKUN - OLOGBOSERE PRIMARY SCHOOL II,12/11/07/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/35356/result_154469_1677491548_thumb.jpg,true
EDO,IKPOBA/OKHA,,ENIKARO - UGBEKUN PRIMARY SCHOOL II,12/11/07/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/35354/result_154467_1677493389_thumb.jpg,true
EDO,IKPOBA/OKHA,,"OPEN SPACE IN  FRONT OF OMOSEFE NURSING & MATERNITY, ETINOSA STREET, OFF UPPER SAKPONBA",12/11/07/058,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/633494/result_154508_1677489291_thumb.jpg,true
EDO,IKPOBA/OKHA,,EDO STATE CHILDREN CORRECTIONAL CENTRE ALONG WELFARE RD I,12/11/07/043,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/633479/result_154493_1677494557_thumb.jpg,true
EDO,IKPOBA/OKHA,,UGBEKUN - OLOGBOSERE PRIMARY SCHOOL I,12/11/07/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/35355/result_154468_1677492157_thumb.jpg,true
EDO,IKPOBA/OKHA,,UGBEKUN - OLOGBOSERE PRIMARY SCHOOL   X,12/11/07/027,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/35364/result_154477_1677497000_thumb.jpg,true
EDO,IKPOBA/OKHA,,ENIKARO - ENIKARO PRIMARY SCHOOL IX,12/11/07/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/35346/result_154459_1677490809_thumb.jpg,true
EDO,IKPOBA/OKHA,,"ENIKARO, UGBEKUN HEALTH CENTRE III",12/11/07/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/35350/result_154463_1677492464_thumb.jpg,true
EDO,IKPOBA/OKHA,,UGBEKUN - OLOGBOSERE PRIMARY SCHOOL   XI,12/11/07/028,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/35365/result_154478_1677497147_thumb.jpg,true
