state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
EDO,OWAN EAST,IHIEVBE  I,"OBOKHUODUMA PRIMARY SCHOOL,  IHIEVBE",12/16/03/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/010/010-1677393314.pdf,false
EDO,OWAN EAST,IHIEVBE  I,"IVBIEVE PRIMARY SCHOOL,  IHIEVBE     I",12/16/03/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/001/001-1677399482.pdf,false
EDO,OWAN EAST,IHIEVBE  I,"OBOH INTN SCHOOL,  IHIEVBE",12/16/03/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/004/004-1677399058.pdf,false
EDO,OWAN EAST,IHIEVBE  I,NEAR MOTOR GARAGE IHIEVBE II,12/16/03/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/014/014-1677395072.pdf,false
EDO,OWAN EAST,IHIEVBE  I,"MATERNITY CENTRE,  IHIEVBE",12/16/03/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/005/005-1677388359.pdf,false
EDO,OWAN EAST,IHIEVBE  I,"SPACE BY CUSTOMARY COURT,  IHIEVBE  I",12/16/03/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/006/006-1677388170.pdf,false
EDO,OWAN EAST,IHIEVBE  I,IVBIEVE PRIMARY SCHOOL IHIEVBE  IV,12/16/03/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/013/013-1677391213.pdf,false
EDO,OWAN EAST,IHIEVBE  I,"CUSTOMARY COURT,  EDON ROAD",12/16/03/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/009/009-1677398491.pdf,false
EDO,OWAN EAST,IHIEVBE  I,IVBIEVE PRIMARY SCHOOL IHIEVBE III,12/16/03/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/012/012-1677394366.pdf,false
EDO,OWAN EAST,IHIEVBE  I,"EMABUN IGBIRA CAMP,  IHIEVBE",12/16/03/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/011/011-1677391300.pdf,false
EDO,OWAN EAST,IHIEVBE  I,CUSTOMARY COURT EDON ROAD II,12/16/03/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/016/016-1677392590.pdf,false
EDO,OWAN EAST,IHIEVBE  I,"SPACE BY CUSTOMARY COURT,  IHIEVBE   II",12/16/03/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/007/007-1677395521.pdf,false
EDO,OWAN EAST,IHIEVBE  I,"IVBIEVE PRIMARY SCHOOL,  IHIEVBE     II",12/16/03/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/002/002-1677397326.pdf,false
EDO,OWAN EAST,IHIEVBE  I,OBOH INTERNATIONAL SCHOOL IHIEVBE II,12/16/03/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/015/015-1677397381.pdf,false
EDO,OWAN EAST,IHIEVBE  I,OBOKHUODUMA PRIMARY SCHOOL IHIEVBE II,12/16/03/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/017/017-1677397479.pdf,false
EDO,OWAN EAST,IHIEVBE  I,"MARKET SQUARE IVBIORE,  OGHA",12/16/03/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/008/008-1677396805.pdf,false
EDO,OWAN EAST,IHIEVBE  I,"NEAR MOTOR GARAGE,  IHIEVBE",12/16/03/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/003/003-1677394633.pdf,false
