state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
EKITI,EKITI WEST,ARAMOKO  I,"IN FRONT OF R. A. SHITU'S HOUSE, AMUTUTU",13/04/01/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3348/ward/20357/pu/37138/37138-1677524903.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"TOWN HALL ,  ISASA   III",13/04/01/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3348/ward/20357/pu/37123/37123-1677524098.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"OMOALARA HALL, ANAYE  II",13/04/01/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/002/002-1677378289.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"MR. AKEJU'S HOUSE , ALAKOWE",13/04/01/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/008/008-1677378078.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"ATIBA PALACE  ,  ATIBA",13/04/01/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/010/010-1677377944.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"NEAR ODOFIN'S HOUSE , IWARO / IJOWA / SURULERE",13/04/01/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/011/011-1677377322.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"IN FRONT OF CHIEF IMI'S HOUSE , IDIFI",13/04/01/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/009/009-1677376221.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"TOWN HALL ,  ISASA   II",13/04/01/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/006/006-1677375328.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"ST. ANNE'S SCH, ISASA   I",13/04/01/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/005/005-1677374862.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"OPEN SPACE WITHIN ANAYE , ANAYE  IV",13/04/01/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/004/004-1677374406.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"INFRONT OF CHIEF OJOKO'S HOUSE ,  ANAYE  III",13/04/01/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/003/003-1677373967.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"ST. PHILIPS'S \B\"" / ANAYE  I""",13/04/01/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/001/001-1677373418.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"MATERNITY CENTRE  , IWARO  / IJELU   I",13/04/01/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/013/013-1677373034.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,BAPTIST PRY. SCH.  /  ALELE,13/04/01/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/015/015-1677372114.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"INFRONT OF CHIEF OKUNATO'S HOUSE ,  IKUNATO",13/04/01/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/016/016-1677371743.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"MATERNITY CENTRE  , IWARO  / IJELU  II",13/04/01/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/014/014-1677371095.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"NEAR CHIEF SAJOWA'S HOUSE  ,  SAJOWA",13/04/01/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/012/012-1677370672.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"ST. JOSEPH'S C. A. C. PRY. SCH.  , OKE EGBE",13/04/01/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/017/017-1677369687.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"IN FRONT OF CHIEF ASASA'S HOUSE  , AYINRIN OYEWUNMI",13/04/01/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/018/018-1677367897.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"ODOLE'S COMP.  ,  AKINGBOLU  COMP. / ODOLE",13/04/01/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/019/019-1677367313.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"OKE OBO / OKE ASASA  ,  OKE- OBO COMP. OKO ASASA",13/04/01/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/020/020-1677366764.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"FRONT OF OKORO AGUNSIMI HOUSE  , ODO AYO ALAKOWE",13/04/01/021,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/021/021-1677366323.pdf,false
EKITI,EKITI WEST,ARAMOKO  I,"MARKET SQUARE  , ALELE",13/04/01/023,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/023/023-1677365566.pdf,false
