state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
EKITI,EKITI SOUTH WEST,ILAWE  I,ELEJOFI / OJAOMO  / NEAR ELEJOFI,13/05/01/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/01/pu/006/006-1677402634.pdf,false
EKITI,EKITI SOUTH WEST,ILAWE  I,SAPETU  / NEAR SAPETU,13/05/01/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/01/pu/010/010-1677398128.pdf,false
EKITI,EKITI SOUTH WEST,ILAWE  I,OJA AAYE / EKU AAYE / NEAR OLOJA AAYE,13/05/01/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/01/pu/009/009-1677396824.pdf,false
EKITI,EKITI SOUTH WEST,ILAWE  I,OWAILORO / MAT. CENTRE NEAR OWAILOPO,13/05/01/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/01/pu/003/003-1677395904.pdf,false
EKITI,EKITI SOUTH WEST,ILAWE  I,ITAOSE / OYEGBATA ST. ANGELA'S SCH.,13/05/01/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/01/pu/001/001-1677395230.pdf,false
EKITI,EKITI SOUTH WEST,ILAWE  I,IGBO AWO / CHIEF SARO NEAR IGBO AWO,13/05/01/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/01/pu/004/004-1677393955.pdf,false
EKITI,EKITI SOUTH WEST,ILAWE  I,"EMILA  , NEAR EMILA",13/05/01/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/01/pu/005/005-1677392640.pdf,false
EKITI,EKITI SOUTH WEST,ILAWE  I,ILUPEJU CENTRE / ILUPEJU PRY SCH,13/05/01/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/01/pu/007/007-1677391362.pdf,false
EKITI,EKITI SOUTH WEST,ILAWE  I,TEMIDIRE / CATHOLIC MISSION ST. ANGELA'S SCH,13/05/01/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/01/pu/002/002-1677389655.pdf,false
EKITI,EKITI SOUTH WEST,ILAWE  I,OWAOSUN / TEDIO / OLORIAWO NEAR  OLORIAWO,13/05/01/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/01/pu/011/011-1677388599.pdf,false
EKITI,EKITI SOUTH WEST,ILAWE  I,OWAOSUN / TEDIO / OLORIAWO NEAR BOARD OF INTERNAL REVENUE,13/05/01/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/01/pu/012/012-1677387787.pdf,false
EKITI,EKITI SOUTH WEST,ILAWE  I,ERIN OMO FOOD CENTRE / NEAR ERIN OMO,13/05/01/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/01/pu/008/008-1677386824.pdf,false
