state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
EKITI,ISE / ORUN,ORUN II,IN FRONT OF OMOTAYO'S HOUSE / ARAROMI STREET,13/14/10/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3358/ward/20475/pu/38588/38588-1677478465.pdf,false
EKITI,ISE / ORUN,ORUN II,IN FRONT OF OGUNRIN'S HOUSE / BOLORUNDURO STREET,13/14/10/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3358/ward/20475/pu/38587/38587-1677478222.pdf,false
EKITI,ISE / ORUN,ORUN II,OPEN SPACE AT OBADIRE CAMP / EGAN AARIN CAMP,13/14/10/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3358/ward/20475/pu/38585/38585-1677477162.pdf,false
EKITI,ISE / ORUN,ORUN II,OPEN SPACE AT SAIBI'S CAMP / OMOLAERE CAMP,13/14/10/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3358/ward/20475/pu/38586/38586-1677454795.pdf,false
EKITI,ISE / ORUN,ORUN II,IN FRONT OF PASTOR ADU'S HOUSE / TEMIDIRE STREET,13/14/10/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/10/pu/008/008-1677391855.pdf,false
EKITI,ISE / ORUN,ORUN II,IN FRONT OF OLORI AWO'S HOUSE / ODO ODE STREET,13/14/10/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/10/pu/006/006-1677390640.pdf,false
EKITI,ISE / ORUN,ORUN II,IN FRONT OF ARO'S HOUSE / ARIGIDI STREET,13/14/10/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/10/pu/005/005-1677390128.pdf,false
EKITI,ISE / ORUN,ORUN II,IN FRONT OF JEMILUAS'S HOUSE / OBA ABIODUN STREET,13/14/10/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/10/pu/004/004-1677389645.pdf,false
EKITI,ISE / ORUN,ORUN II,AAFIN NEAR OPEN SPACE / AAFIN OLORUN,13/14/10/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/10/pu/003/003-1677389038.pdf,false
EKITI,ISE / ORUN,ORUN II,AAFIN (OPEN SPACE) / AAFIN OLORUN,13/14/10/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/10/pu/002/002-1677388395.pdf,false
EKITI,ISE / ORUN,ORUN II,OGUNDANA'S CAMP / OPOLOKEGUN'S CAMP,13/14/10/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/10/pu/001/001-1677387305.pdf,false
EKITI,ISE / ORUN,ORUN II,IN FRONT OF PASTOR ADU'S HOUSE / TEMIDIRE STREET,13/14/10/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/10/pu/007/007-1677385014.pdf,false
