state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ENUGU,AWGU,AWGU II,OYE UMUHU MARKET SQUARE I,14/02/02/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/39030/39030-1677604131.pdf,false
ENUGU,AWGU,AWGU II,EZIUMUHU TOWN HALL,14/02/02/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/141489/141489-1677603524.pdf,false
ENUGU,AWGU,AWGU II,UGWUORJI OGWUMABIRI SQUARE,14/02/02/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/141488/141488-1677603100.pdf,false
ENUGU,AWGU,AWGU II,OBODO UHUAGWU TOWN HALL,14/02/02/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/141487/141487-1677602415.pdf,true
ENUGU,AWGU,AWGU II,AMEBO OLIKWU VILLAGE SQUARE,14/02/02/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/141486/141486-1677601849.pdf,false
ENUGU,AWGU,AWGU II,IN-FRONT OF CORPERS LODGE,14/02/02/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/141485/141485-1677601378.pdf,false
ENUGU,AWGU,AWGU II,AMAGU UMUHU SQUARE,14/02/02/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/141484/141484-1677600277.pdf,false
ENUGU,AWGU,AWGU II,TOWN HALL OBUOFFIA,14/02/02/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/141483/141483-1677599358.pdf,false
ENUGU,AWGU,AWGU II,COMMUNITY SCHOOL AWGU II,14/02/02/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/141482/141482-1677598352.pdf,false
ENUGU,AWGU,AWGU II,EKE AMAIWE VILLAGE HALL,14/02/02/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/141481/141481-1677597431.pdf,false
ENUGU,AWGU,AWGU II,EZIUMUHU PUBLIC SQUARE,14/02/02/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/39036/39036-1677596689.pdf,true
ENUGU,AWGU,AWGU II,OGWUMABIRI SQUARE AWGU II,14/02/02/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/39035/39035-1677593523.pdf,true
ENUGU,AWGU,AWGU II,UHUANYA PUBLIC SQUARE,14/02/02/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/39034/39034-1677592723.pdf,true
ENUGU,AWGU,AWGU II,AMAJIRIJI VILLAGE SQUARE,14/02/02/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/39033/39033-1677592052.pdf,false
ENUGU,AWGU,AWGU II,JOINT SCHOOL AWGU,14/02/02/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/39032/39032-1677591302.pdf,true
ENUGU,AWGU,AWGU II,OYE UMUHU MARKET SQUARE II,14/02/02/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/39031/39031-1677590469.pdf,true
ENUGU,AWGU,AWGU II,OGWUMABIRI SQUARE AWGU I,14/02/02/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/39029/39029-1677589495.pdf,true
ENUGU,AWGU,AWGU II,OBODO AMETA OBUOFFIA SQUARE,14/02/02/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/39028/39028-1677588101.pdf,true
ENUGU,AWGU,AWGU II,COMM. SCHOOL AWGU,14/02/02/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/39027/39027-1677587198.pdf,true
ENUGU,AWGU,AWGU II,COMM. SCHOOL ONOLI II,14/02/02/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/39026/39026-1677586537.pdf,true
ENUGU,AWGU,AWGU II,JOINT OSCHOOL AMOFIA,14/02/02/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/39024/39024-1677585579.pdf,false
ENUGU,AWGU,AWGU II,COMM. SCHOOL ONOLI I,14/02/02/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20510/pu/39025/39025-1677584936.pdf,false
