state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ENUGU,EZEAGU,OBE AGU UMANA,CENTRAL SCHOOL ETITI OBELE AGU,14/06/19/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3366/ward/20576/pu/141985/141985-1677626396.pdf,true
ENUGU,EZEAGU,OBE AGU UMANA,NWAAFIA VILLAGE SQUARE,14/06/19/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3366/ward/20576/pu/141984/141984-1677626118.pdf,true
ENUGU,EZEAGU,OBE AGU UMANA,UMUALIONGENE SQUARE,14/06/19/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3366/ward/20576/pu/40004/40004-1677626016.pdf,true
ENUGU,EZEAGU,OBE AGU UMANA,UGWUAKULU HALL  II,14/06/19/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3366/ward/20576/pu/40003/40003-1677625922.pdf,true
ENUGU,EZEAGU,OBE AGU UMANA,UGWUAKULU HALL I,14/06/19/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3366/ward/20576/pu/40002/40002-1677625775.pdf,true
ENUGU,EZEAGU,OBE AGU UMANA,C.P.S. OMUGHU,14/06/19/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3366/ward/20576/pu/40001/40001-1677625588.pdf,true
ENUGU,EZEAGU,OBE AGU UMANA,AMUBE SQUARE,14/06/19/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3366/ward/20576/pu/40000/40000-1677625468.pdf,true
ENUGU,EZEAGU,OBE AGU UMANA,OGWUBUDO SQUARE II,14/06/19/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3366/ward/20576/pu/39999/39999-1677625342.pdf,true
ENUGU,EZEAGU,OBE AGU UMANA,OGWUBUDO SQUARE I,14/06/19/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3366/ward/20576/pu/39998/39998-1677625236.pdf,true
ENUGU,EZEAGU,OBE AGU UMANA,OKPUDO HALL II,14/06/19/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3366/ward/20576/pu/39997/39997-1677624995.pdf,true
ENUGU,EZEAGU,OBE AGU UMANA,C.P.S. OBELEAGU,14/06/19/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3366/ward/20576/pu/39995/39995-1677624806.pdf,true
ENUGU,EZEAGU,OBE AGU UMANA,OKPUDO HALL I,14/06/19/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/19/pu/002/002-1677373051.pdf,false
