state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ENUGU,IGBO EZE SOUTH,,OTOBO UMUOLE,14/09/05/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635092/result_158742_1677520949_thumb.jpg,true
ENUGU,IGBO EZE SOUTH,,OTOBO MGBOROKO EKOYI,14/09/05/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,true
ENUGU,IGBO EZE SOUTH,,UMUOGBO HALL,14/09/05/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635090/result_158740_1677520643_thumb.jpg,true
ENUGU,IGBO EZE SOUTH,,AMAGU HALL I,14/09/05/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/40426/result_158733_1677519393_thumb.jpg,true
ENUGU,IGBO EZE SOUTH,,EKOYI IHEAKA HEALTH CENTRE,14/09/05/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635088/result_158738_1677520374_thumb.jpg,true
ENUGU,IGBO EZE SOUTH,,OTOBO AMERO,14/09/05/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635089/result_158739_1677520530_thumb.jpg,true
ENUGU,IGBO EZE SOUTH,,C.P.S. UGO II,14/09/05/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/40428/result_158735_1677519916_thumb.jpg,true
ENUGU,IGBO EZE SOUTH,,C.P.S. II AKOYI,14/09/05/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/40425/result_158732_1677519229_thumb.jpg,true
ENUGU,IGBO EZE SOUTH,,UMU AMAEZE I,14/09/05/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/40427/result_158734_1677519763_thumb.jpg,true
ENUGU,IGBO EZE SOUTH,,UMU AMAEZE II,14/09/05/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,true
ENUGU,IGBO EZE SOUTH,,AMAGU HALL II,14/09/05/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,true
ENUGU,IGBO EZE SOUTH,,C.P.S. I AKOYI,14/09/05/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/40423/result_158730_1677518523_thumb.jpg,true
ENUGU,IGBO EZE SOUTH,,C.P.S. UGO I,14/09/05/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,true
