state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ENUGU,ISI UZO,,OBORO ISIENU,14/10/03/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/40541/result_158915_1677524464_thumb.jpg,true
ENUGU,ISI UZO,,AGUDENE NEKE PRIMARY SCHOOL,14/10/03/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/40542/result_158916_1677524579_thumb.jpg,true
ENUGU,ISI UZO,,UGWUADAKA HEALTH CENTER,14/10/03/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635172/result_158918_1677524757_thumb.jpg,true
ENUGU,ISI UZO,,C S S UZOUHU ISIENU,14/10/03/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635174/result_158920_1677524892_thumb.jpg,true
ENUGU,ISI UZO,,PRIMARY SCHOOL ONUEME,14/10/03/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/40543/result_158917_1677524660_thumb.jpg,true
ENUGU,ISI UZO,,C S S EMEORA NEKE,14/10/03/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635175/result_158921_1677524982_thumb.jpg,true
ENUGU,ISI UZO,,UNO NEKE CIVIC CENTER,14/10/03/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635173/result_158919_1677524826_thumb.jpg,true
ENUGU,ISI UZO,,UGWUADAKA,14/10/03/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/40540/result_158914_1677524357_thumb.jpg,true
ENUGU,ISI UZO,,OKPURUKPU HALL,14/10/03/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/40538/result_158912_1677524254_thumb.jpg,true
ENUGU,ISI UZO,,ONUEME HALL,14/10/03/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/40539/result_158913_1677524056_thumb.jpg,true
