state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ENUGU,NKANU EAST,AKPOFU/ISIENU/AMAGUNZE,OBODO NVU VILLAGE SQUARE,14/11/03/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3371/ward/20647/pu/40668/40668-1677612458.pdf,false
ENUGU,NKANU EAST,AKPOFU/ISIENU/AMAGUNZE,IJI VILL. HEALTH CENTRE,14/11/03/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635183/result_159082_1677575571_thumb.jpg,false
ENUGU,NKANU EAST,AKPOFU/ISIENU/AMAGUNZE,COURT PREMISES II,14/11/03/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/03/pu/008/008-1677415451.pdf,false
ENUGU,NKANU EAST,AKPOFU/ISIENU/AMAGUNZE,GROUP SCHOOL AGU-UDENE AKPAWFU,14/11/03/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/03/pu/013/013-1677415181.pdf,false
ENUGU,NKANU EAST,AKPOFU/ISIENU/AMAGUNZE,COURT PREMISES ISIENU I,14/11/03/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/03/pu/005/005-1677411183.pdf,false
ENUGU,NKANU EAST,AKPOFU/ISIENU/AMAGUNZE,AFOR-AGU OBODO UVURU,14/11/03/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/03/pu/012/012-1677404352.pdf,false
ENUGU,NKANU EAST,AKPOFU/ISIENU/AMAGUNZE,RIVER SIDE PRIMARY SCHOOL OSU,14/11/03/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/03/pu/007/007-1677393371.pdf,false
ENUGU,NKANU EAST,AKPOFU/ISIENU/AMAGUNZE,NKWO MARKET SQUARE,14/11/03/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/03/pu/004/004-1677389982.pdf,false
ENUGU,NKANU EAST,AKPOFU/ISIENU/AMAGUNZE,EKE MARKET SQUARE,14/11/03/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/03/pu/009/009-1677389777.pdf,false
ENUGU,NKANU EAST,AKPOFU/ISIENU/AMAGUNZE,C.S. AKPOFU IKORO NDIAGU I,14/11/03/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/03/pu/003/003-1677387485.pdf,false
ENUGU,NKANU EAST,AKPOFU/ISIENU/AMAGUNZE,C.S. AKPOFU,14/11/03/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/03/pu/002/002-1677382872.pdf,false
ENUGU,NKANU EAST,AKPOFU/ISIENU/AMAGUNZE,OBODO UVURU EKE TOWN HALL,14/11/03/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/03/pu/001/001-1677382166.pdf,false
ENUGU,NKANU EAST,AKPOFU/ISIENU/AMAGUNZE,OGO AKUM VILLAGE SQUARE,14/11/03/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/03/pu/006/006-1677382065.pdf,false
ENUGU,NKANU EAST,AKPOFU/ISIENU/AMAGUNZE,OBODO AGU VILLAGE SQUARE,14/11/03/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/11/ward/03/pu/011/011-1677379994.pdf,false
