state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ENUGU,NSUKKA,EHA-NDIAGU,IGBPGEBE VILL. HALL,14/13/10/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635279/result_159571_1677602377_thumb.jpg,false
ENUGU,NSUKKA,EHA-NDIAGU,COMMUNITY SEC. SCHOOL EZEBUNAGU,14/13/10/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
ENUGU,NSUKKA,EHA-NDIAGU,UMUOGIRI VILL. AGE HALL EHANDIAGU,14/13/10/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
ENUGU,NSUKKA,EHA-NDIAGU,UGWU EKE VILLAGE SQUARE,14/13/10/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41058/result_159568_1677601277_thumb.jpg,false
ENUGU,NSUKKA,EHA-NDIAGU,OTOBO AZUABOR UNO,14/13/10/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41057/result_159567_1677600896_thumb.jpg,false
ENUGU,NSUKKA,EHA-NDIAGU,PRIMARY SCHOOL EDEM UMABOR,14/13/10/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41056/result_159566_1677600707_thumb.jpg,false
ENUGU,NSUKKA,EHA-NDIAGU,OTOBO EPIO,14/13/10/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41055/result_159565_1677600322_thumb.jpg,false
ENUGU,NSUKKA,EHA-NDIAGU,PRIMARY SCHOOL AMANATO EHA-NDIAGU,14/13/10/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
ENUGU,NSUKKA,EHA-NDIAGU,OTOBO IKEAGWU BREME,14/13/10/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41053/result_159563_1677599413_thumb.jpg,false
ENUGU,NSUKKA,EHA-NDIAGU,PRIMARY SCHOOL BREME,14/13/10/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
ENUGU,NSUKKA,EHA-NDIAGU,ISE PRIMARY SCHOOL EHA-NDIAGU,14/13/10/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41051/result_159561_1677597717_thumb.jpg,false
ENUGU,NSUKKA,EHA-NDIAGU,COMMUNITY PRIMARY SCHOOL EHA AZUABOR,14/13/10/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41050/result_159560_1677597559_thumb.jpg,false
ENUGU,NSUKKA,EHA-NDIAGU,AMECHIELU PRIMARY SCHOOL AZUABOR II,14/13/10/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41049/result_159559_1677597359_thumb.jpg,false
ENUGU,NSUKKA,EHA-NDIAGU,AMECHIELU PRIMARY SCHOOL AZUABOR I,14/13/10/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41048/result_159558_1677597218_thumb.jpg,false
ENUGU,NSUKKA,EHA-NDIAGU,COMMUNITY SECONDARY SCHOOL EHA-NDIAGU,14/13/10/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41047/result_159557_1677596766_thumb.jpg,false
ENUGU,NSUKKA,EHA-NDIAGU,ODOBIDO PRIMARY SCHOOL EHA-NDIAGU,14/13/10/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41046/result_159556_1677596404_thumb.jpg,false
ENUGU,NSUKKA,EHA-NDIAGU,COMMUNITY SCHOOL EHANDIAGU,14/13/10/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41045/result_159555_1677595952_thumb.jpg,false
