state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ENUGU,NSUKKA,,OTOBO OFULUONU VILL. SQUARE,14/13/16/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635334/result_159720_1677605439_thumb.jpg,false
ENUGU,NSUKKA,,EBENKWO VILLAGE SQ,14/13/16/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635333/result_159719_1677605144_thumb.jpg,false
ENUGU,NSUKKA,,OTOBO ULANAGU VILL. SQ,14/13/16/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635332/result_159718_1677604252_thumb.jpg,false
ENUGU,NSUKKA,,C.S. NRU,14/13/16/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
ENUGU,NSUKKA,,OGBUAGU VILLAGE SQUARE,14/13/16/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41154/result_159716_1677602037_thumb.jpg,false
ENUGU,NSUKKA,,OTOBO AMAORI,14/13/16/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41153/result_159715_1677600720_thumb.jpg,false
ENUGU,NSUKKA,,UMUASHI VILLAGE SQUARE,14/13/16/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41152/result_159714_1677600170_thumb.jpg,false
ENUGU,NSUKKA,,OTOBO NKPURUMOJI II,14/13/16/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41151/result_159713_1677599094_thumb.jpg,false
ENUGU,NSUKKA,,OTOBO NKPURUMOJI I,14/13/16/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41150/result_159712_1677597219_thumb.jpg,false
ENUGU,NSUKKA,,OTOBO AMAUKPOCHA,14/13/16/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41149/result_159711_1677596949_thumb.jpg,false
ENUGU,NSUKKA,,OTOBO AMARIKA,14/13/16/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41148/result_159710_1677596127_thumb.jpg,false
ENUGU,NSUKKA,,OTOBO AMADIM,14/13/16/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41147/result_159709_1677595682_thumb.jpg,false
ENUGU,NSUKKA,,OTOBO OGIDI,14/13/16/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41146/result_159708_1677595079_thumb.jpg,false
ENUGU,NSUKKA,,OTOBO AMORAH,14/13/16/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41145/result_159707_1677594699_thumb.jpg,false
ENUGU,NSUKKA,,OTOBO NDIAGU EDEM,14/13/16/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
ENUGU,NSUKKA,,NDIAGU UGWUAGBO,14/13/16/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41143/result_159705_1677593693_thumb.jpg,false
ENUGU,NSUKKA,,OTOBO AMABO,14/13/16/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41142/result_159704_1677593400_thumb.jpg,false
ENUGU,NSUKKA,,IHE AGU PRIMARY SCHOOL,14/13/16/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41141/result_159703_1677591150_thumb.jpg,false
