state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ENUGU,UDENU,,ALAGBO ANI VILLAGE HALL,14/15/10/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635513/result_160246_1677522928_thumb.jpg,true
ENUGU,UDENU,,AMACHARA VILLAGE SQUARE,14/15/10/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635515/result_160248_1677523188_thumb.jpg,true
ENUGU,UDENU,,COMMUNITY SECONDARY SCHOOL UMUNDU,14/15/10/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635514/result_160247_1677523057_thumb.jpg,true
ENUGU,UDENU,,ALAGBO ENU VILLAGE HALL UMUNDU,14/15/10/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635512/result_160245_1677522770_thumb.jpg,true
ENUGU,UDENU,,UMUOGALEKA VILLAGE SQUARE,14/15/10/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/635511/result_160244_1677522634_thumb.jpg,true
ENUGU,UDENU,,AMACHARA VILLAGE SQUARE II,14/15/10/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41502/result_160242_1677522333_thumb.jpg,true
ENUGU,UDENU,,AMACHARA VILLAGE SQUARE III,14/15/10/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41503/result_160243_1677522484_thumb.jpg,true
ENUGU,UDENU,,AMAOLU,14/15/10/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41501/result_160241_1677522105_thumb.jpg,true
ENUGU,UDENU,,UMUOKERE,14/15/10/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41500/result_160240_1677521966_thumb.jpg,true
ENUGU,UDENU,,INLAND PRIMARY SCHOOL SCAMPUS II,14/15/10/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41499/result_160239_1677521764_thumb.jpg,true
ENUGU,UDENU,,INLAND PRIMARY SCHOOL CAMPUS I,14/15/10/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41498/result_160238_1677521432_thumb.jpg,true
ENUGU,UDENU,,AMACHARA VILLAGE SQUARE I,14/15/10/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41495/result_160235_1677521292_thumb.jpg,true
ENUGU,UDENU,,IFUMA VILLAGE SQUARE,14/15/10/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41497/result_160237_1677520972_thumb.jpg,true
ENUGU,UDENU,,UMUEMERIE VILLAGE SQUARE,14/15/10/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41496/result_160236_1677520572_thumb.jpg,true
