state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
FCT,BWARI,USHAFA,USHAFA PRI. SCHOOL / SSS USHAFA,37/02/06/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637316/result_96625_1677586316_thumb.jpg,false
FCT,BWARI,USHAFA,JIGO / JIGO PLAY GROUND,37/02/06/028,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637301/result_96640_1677584112_thumb.jpg,false
FCT,BWARI,USHAFA,PABWARE VILLAGE,37/02/06/033,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/617925/result_96645_1677583734_thumb.jpg,false
FCT,BWARI,USHAFA,USHAFA INTERGRATION BY POLICE POST,37/02/06/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/617924/result_96635_1677585520_thumb.jpg,false
FCT,BWARI,USHAFA,USHAFA KOFAR SARKI/ USHAFA PRI.SCHOOL,37/02/06/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/617820/result_96626_1677578359_thumb.jpg,false
FCT,BWARI,USHAFA,STAFF QUARTERS,37/02/06/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/617922/result_96633_1677576997_thumb.jpg,false
FCT,BWARI,USHAFA,LOWER USMAN DAM / FCDA QTRS NO 56,37/02/06/025,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637304/result_96637_1677577945_thumb.jpg,false
FCT,BWARI,USHAFA,PEYI / PEYI VILLAGE SQUARE,37/02/06/035,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637294/result_96647_1677582800_thumb.jpg,false
FCT,BWARI,USHAFA,USHAFA POTTERY HOUSE BY THE HUT,37/02/06/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/675204/result_96631_1677583693_thumb.jpg,false
FCT,BWARI,USHAFA,USHAFA I & II / USHAFA PRIMARY SCHOOL,37/02/06/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637324/result_96617_1677577539_thumb.jpg,false
FCT,BWARI,USHAFA,JIGO/JIGO PRIMARY SCHOOL,37/02/06/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41934/result_96615_1677578879_thumb.jpg,false
FCT,BWARI,USHAFA,USHAFA POTTERY CENTER / ANGWAN TIV JUNCTION,37/02/06/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/675205/result_96632_1677582720_thumb.jpg,false
FCT,BWARI,USHAFA,LOWER USMAN DAM/BAYAN DAM / RUGA SETTLEMENT,37/02/06/026,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637303/result_96638_1677577127_thumb.jpg,false
FCT,BWARI,USHAFA,LOWER USUMAN DAM / SECURITY OUTPOST / GATE,37/02/06/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637306/result_96636_1677585417_thumb.jpg,false
FCT,BWARI,USHAFA,JIGO / AIRFORCE BASE,37/02/06/031,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/675206/result_96643_1677577274_thumb.jpg,false
FCT,BWARI,USHAFA,USHAFA BY MADAKI STREET,37/02/06/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637320/result_96621_1677578149_thumb.jpg,false
FCT,BWARI,USHAFA,USHAFA KOFAR SARKI / USHAFA CLINIC,37/02/06/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/675202/result_96628_1677576858_thumb.jpg,false
FCT,BWARI,USHAFA,USHAFA I & II / USHAFA PRIMARY SCHOOL,37/02/06/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637321/result_96620_1677586338_thumb.jpg,false
FCT,BWARI,USHAFA,USHAFA I & II / USHAFA PRIMARY SCHOOL,37/02/06/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637322/result_96619_1677582869_thumb.jpg,false
FCT,BWARI,USHAFA,PEYI VILLAGE SQUARE/ BRITISH OASIS INT SCHOOL,37/02/06/034,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637295/result_96646_1677582494_thumb.jpg,false
FCT,BWARI,USHAFA,USHAFA PRI. SCHOOL / SSS USHAFA,37/02/06/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637317/result_96624_1677586919_thumb.jpg,false
FCT,BWARI,USHAFA,JIGO WAR COLLEGE/ THE NEW VINE  ACADEMY,37/02/06/032,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/675207/result_96644_1677580835_thumb.jpg,false
FCT,BWARI,USHAFA,USHAFA POTTERY CENTER,37/02/06/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/617921/result_96630_1677585181_thumb.jpg,false
FCT,BWARI,USHAFA,USHAFA KOFAR SARKI / USHAFA CLINIC,37/02/06/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/675201/result_96627_1677577808_thumb.jpg,false
FCT,BWARI,USHAFA,USHAFA PRI. SCHOOL / JSS USHAFA,37/02/06/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637318/result_96623_1677576705_thumb.jpg,false
FCT,BWARI,USHAFA,PEYI / PEYI VILLAGE SQUARE,37/02/06/037,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637292/result_96649_1677583284_thumb.jpg,false
FCT,BWARI,USHAFA,JIGO VETERINARY CLINIC,37/02/06/027,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637302/result_96639_1677584804_thumb.jpg,false
FCT,BWARI,USHAFA,PEYI/KWABAN/PEYI VILLAGE CENTRE,37/02/06/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41935/result_96616_1677579069_thumb.jpg,false
FCT,BWARI,USHAFA,GADU SETTLEMENT BY NOMADIC,37/02/06/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/617923/result_96634_1677585942_thumb.jpg,false
FCT,BWARI,USHAFA,USHAFA KOFAR SARKI / NEAR ESU PALACE,37/02/06/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/675203/result_96629_1677585921_thumb.jpg,false
FCT,BWARI,USHAFA,JIGO / JIGO PRIMARY SCHOOL,37/02/06/029,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
FCT,BWARI,USHAFA,USHAFA PRI. SCHOOL / JSS USHAFA,37/02/06/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637319/result_96622_1677577686_thumb.jpg,false
FCT,BWARI,USHAFA,JIGO WAR COLLEGE,37/02/06/030,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/617819/result_96642_1677584001_thumb.jpg,false
FCT,BWARI,USHAFA,USHAFA I & II / USHAFA PRIMARY SCHOOL,37/02/06/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637323/result_96618_1677584277_thumb.jpg,false
FCT,BWARI,USHAFA,PEYI / SUBERT INT ACADEMY.,37/02/06/036,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/637293/result_96648_1677577405_thumb.jpg,false
FCT,BWARI,USHAFA,LOWER USMAN DAM/SECURITY POST OPP. ASCON,37/02/06/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41933/result_96614_1677583505_thumb.jpg,false
FCT,BWARI,USHAFA,USHAFA I & II/USHAFA PRIMARY SCHOOL,37/02/06/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41932/result_96613_1677579137_thumb.jpg,false
