state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
GOMBE,YALMALTU/ DEBA,KWADON / LIJI / KURBA,"KUNJI, PRI. SCH. KUNJI",15/11/09/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/44533/result_102036_1677509079_thumb.jpg,true
GOMBE,YALMALTU/ DEBA,KWADON / LIJI / KURBA,"GALADIMA KWADON  I, KOFAR SARKI KWADON",15/11/09/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/44528/result_102031_1677508609_thumb.jpg,true
GOMBE,YALMALTU/ DEBA,KWADON / LIJI / KURBA,"GALADIMA II, PRI. SCH. TUKULMA",15/11/09/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/44531/result_102034_1677509468_thumb.jpg,true
GOMBE,YALMALTU/ DEBA,KWADON / LIJI / KURBA,"GALADIMA  I, PRIMARY  SCH00L",15/11/09/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/44530/result_102033_1677509275_thumb.jpg,true
GOMBE,YALMALTU/ DEBA,KWADON / LIJI / KURBA,"TUKULMA, PRI. SCH. TUKULMA",15/11/09/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/44532/result_102035_1677509659_thumb.jpg,true
GOMBE,YALMALTU/ DEBA,KWADON / LIJI / KURBA,"GALADIMA KWADON  II, KOFAR S. KWADON",15/11/09/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/44529/result_102032_1677508824_thumb.jpg,true
GOMBE,YALMALTU/ DEBA,KWADON / LIJI / KURBA,"LONDON, KOFAR J. LONDON",15/11/09/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3394/ward/20932/pu/44642/44642-1677602766.pdf,true
GOMBE,YALMALTU/ DEBA,KWADON / LIJI / KURBA,BATARI II KOFAR SARKI,15/11/09/031,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3394/ward/20932/pu/143375/143375-1677602515.pdf,false
GOMBE,YALMALTU/ DEBA,KWADON / LIJI / KURBA,"DOMBOLUM, KOFAR J. DOMBOLUM",15/11/09/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/44550/result_102053_1677596457_thumb.jpg,true
GOMBE,YALMALTU/ DEBA,KWADON / LIJI / KURBA,LIJI MATERNITY,15/11/09/045,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3394/ward/20932/pu/143389/143389-1677593461.pdf,true
GOMBE,YALMALTU/ DEBA,KWADON / LIJI / KURBA,"WURO IBBA , IBBA PRI. SCHOOL",15/11/09/029,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3394/ward/20932/pu/44647/44647-1677519165.pdf,false
