state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
IMO,EHIME MBANO,UMUNAKANU,UMUDIOPARA ALADINMA HALL,16/03/07/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3397/ward/20965/pu/45040/45040-1677793881.pdf,true
IMO,EHIME MBANO,UMUNAKANU,UMUDURUOFARO CIVIC HALL,16/03/07/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3397/ward/20965/pu/45044/45044-1677793431.pdf,false
IMO,EHIME MBANO,UMUNAKANU,CENTRAL SCHOOL UMUNAKANU,16/03/07/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3397/ward/20965/pu/45043/45043-1677793120.pdf,false
IMO,EHIME MBANO,UMUNAKANU,UMUOLA HALL,16/03/07/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/07/pu/001/001-1677366264.pdf,false
IMO,EHIME MBANO,UMUNAKANU,UKWUGIRI HEALTH CENTRE,16/03/07/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/07/pu/003/003-1677385062.pdf,false
IMO,EHIME MBANO,UMUNAKANU,UMUELE CIVIC HALL,16/03/07/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/07/pu/004/004-1677368832.pdf,false
IMO,EHIME MBANO,UMUNAKANU,AMAZI HALL,16/03/07/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/07/pu/005/005-1677366769.pdf,false
IMO,EHIME MBANO,UMUNAKANU,ALADINMA UMUDIRE HALL,16/03/07/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/07/pu/007/007-1677366604.pdf,false
IMO,EHIME MBANO,UMUNAKANU,UKWUGIRI HEALTH CENTRE,16/03/07/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/07/pu/002/002-1677366009.pdf,false
IMO,EHIME MBANO,UMUNAKANU,UMUEZEALAIHU CIVIC HALL,16/03/07/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/07/pu/008/008-1677365289.pdf,false
IMO,EHIME MBANO,UMUNAKANU,T.T.C. COMPOUND,16/03/07/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/07/pu/011/011-1677364723.pdf,false
IMO,EHIME MBANO,UMUNAKANU,COMMUNITY SCHOOL UMUGOLO,16/03/07/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/07/pu/012/012-1677363934.pdf,false
IMO,EHIME MBANO,UMUNAKANU,UMUERIM OWERRE  VILLAGE HALL UMUNAKANU,16/03/07/013,,false
