state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
IMO,IDEATO NORTH,UZII/UMUALOMA,EZIHE VILLAGE HALL,16/05/11/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/11/pu/002/002-1677425882.pdf,false
IMO,IDEATO NORTH,UZII/UMUALOMA,C/S II UMUALAOMA,16/05/11/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/11/pu/009/009-1677425661.pdf,false
IMO,IDEATO NORTH,UZII/UMUALOMA,ABIAKA NA NWAEGBO SQUARE,16/05/11/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/11/pu/010/010-1677425628.pdf,false
IMO,IDEATO NORTH,UZII/UMUALOMA,C/S I UZII,16/05/11/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/11/pu/006/006-1677425539.pdf,false
IMO,IDEATO NORTH,UZII/UMUALOMA,UZU TOWN HALL,16/05/11/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/11/pu/001/001-1677425565.pdf,false
IMO,IDEATO NORTH,UZII/UMUALOMA,OBINATO HALL UMUALAOMA,16/05/11/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/11/pu/004/004-1677425396.pdf,false
IMO,IDEATO NORTH,UZII/UMUALOMA,AMANATO VILLAGE SQUARE,16/05/11/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/11/pu/008/008-1677425367.pdf,false
IMO,IDEATO NORTH,UZII/UMUALOMA,ERENAMA MARKET SQUARE,16/05/11/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/11/pu/007/007-1677425375.pdf,false
IMO,IDEATO NORTH,UZII/UMUALOMA,OBINIHU VILLAGE HALL,16/05/11/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/11/pu/005/005-1677424981.pdf,false
IMO,IDEATO NORTH,UZII/UMUALOMA,COMM. SCHOOL II UZII,16/05/11/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/05/ward/11/pu/003/003-1677424858.pdf,false
