state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
IMO,IKEDURU (IHO),,COMMUNITY SCHOOL UMUDE,16/08/07/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/07/pu/004/004-1677375004.pdf,false
IMO,IKEDURU (IHO),,UMUKACHA HALL,16/08/07/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/07/pu/009/009-1677375413.pdf,false
IMO,IKEDURU (IHO),,COMMUNITY SCHOOL AMAUDARA,16/08/07/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/07/pu/001/001-1677366899.pdf,false
IMO,IKEDURU (IHO),,PRIMARY SCHOOL AVUVU,16/08/07/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/07/pu/006/006-1677366885.pdf,false
IMO,IKEDURU (IHO),,UMUEHIHIE VILLAGE HALL,16/08/07/005,,false
IMO,IKEDURU (IHO),,NKWO AMACHARA MKT. SQ. AVUVU,16/08/07/010,,false
IMO,IKEDURU (IHO),,NWORIE MARKET SQ.,16/08/07/003,,false
IMO,IKEDURU (IHO),,UROBE VILLAGE HALL,16/08/07/008,,false
IMO,IKEDURU (IHO),,CENTRAL SCHOOL AVUVU,16/08/07/002,,false
IMO,IKEDURU (IHO),,AKURU HALL UMUSHIEVELE,16/08/07/013,,false
IMO,IKEDURU (IHO),,AMAUKWA HALL,16/08/07/007,,false
IMO,IKEDURU (IHO),,OKPARA - OCHA SQUARE UMUDE,16/08/07/012,,false
IMO,IKEDURU (IHO),,AMAEDO HALL AVUVU,16/08/07/011,,false
