state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,PRIM. SCH. IKEMBARA,16/08/11/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3402/ward/21029/pu/178972/178972-1677653170.pdf,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,AMAORJI SQUARE,16/08/11/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3402/ward/21029/pu/178971/178971-1677653000.pdf,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,AMA-IWUAMADI SQUARE,16/08/11/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3402/ward/21029/pu/178970/178970-1677652811.pdf,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,UMUAGUDIHU VILLAGE HALL,16/08/11/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3402/ward/21029/pu/178969/178969-1677652570.pdf,true
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,UMUDURUAGU AMAKPA HALL,16/08/11/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3402/ward/21029/pu/178968/178968-1677652357.pdf,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,AMAECHI VILLAGE HALL,16/08/11/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3402/ward/21029/pu/178967/178967-1677652156.pdf,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,AMAKPURU VILLAGE HALL,16/08/11/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3402/ward/21029/pu/178966/178966-1677651940.pdf,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,IHITTE VILLAGE HALL,16/08/11/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3402/ward/21029/pu/178965/178965-1677651582.pdf,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,UMUABALI VILL. HALL,16/08/11/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/45670/result_103193_1677570008_thumb.jpg,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,NDIOKWU VILL. HALL,16/08/11/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/45671/result_103194_1677570308_thumb.jpg,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,ALIM HALL,16/08/11/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/11/pu/007/007-1677372080.pdf,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,COMM. SCH. OCHICHA,16/08/11/003,,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,AMAEZE HALL,16/08/11/008,,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,COMM. SCH. AMASA,16/08/11/002,,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,AMACHARA VILL. HALL,16/08/11/001,,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,UMUEZEALA VILL. HALL,16/08/11/006,,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,EKOM MISSION HALL,16/08/11/005,,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,"COMMUNITY SCHOOL, IKEMBARA",16/08/11/010,,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,NKWONGUGO MARKET SQ.,16/08/11/004,,false
IMO,IKEDURU (IHO),NGUGO/IKEMBARA,ODO NAOCHASI HALL,16/08/11/009,,false
