state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
IMO,IKEDURU (IHO),,PRI. SCH. AMABAA,16/08/12/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/12/pu/004/004-1677394355.pdf,false
IMO,IKEDURU (IHO),,UMU ALUMAKU HALL,16/08/12/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/12/pu/015/015-1677392795.pdf,false
IMO,IKEDURU (IHO),,PRI. SCH. UMUAGWU,16/08/12/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/12/pu/009/009-1677392547.pdf,false
IMO,IKEDURU (IHO),,COMM. SCHOOL UZOAGBA,16/08/12/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/12/pu/008/008-1677391769.pdf,false
IMO,IKEDURU (IHO),,CHOKWA NA ARUGO HALL,16/08/12/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/12/pu/011/011-1677389937.pdf,false
IMO,IKEDURU (IHO),,UMUNWANYIHA/UMUARUK VILL. SQUARE,16/08/12/022,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/12/pu/022/022-1677360764.pdf,false
IMO,IKEDURU (IHO),,COMM. SCH. UMUOMI,16/08/12/003,,false
IMO,IKEDURU (IHO),,UZOAGBA CENTRAL SCH.,16/08/12/013,,false
IMO,IKEDURU (IHO),,AMAUDARA VILL. SQ.,16/08/12/018,,false
IMO,IKEDURU (IHO),,AMANWOGWUGWU WOMEN HALL,16/08/12/023,,false
IMO,IKEDURU (IHO),,UMUADIM VILLAGE HALL,16/08/12/028,,false
IMO,IKEDURU (IHO),,COMM. SCH. ABO-UMUEME,16/08/12/002,,false
IMO,IKEDURU (IHO),,COMM. SCH. UMUEZE,16/08/12/007,,false
IMO,IKEDURU (IHO),,UMUEZE UMUODU HALL,16/08/12/012,,false
IMO,IKEDURU (IHO),,ORIEUMUOMI MARKET SQR.,16/08/12/017,,false
IMO,IKEDURU (IHO),,UMUONYIRI VILLAGE HALL,16/08/12/027,,false
IMO,IKEDURU (IHO),,COMM. SCH. UMUEME,16/08/12/001,,false
IMO,IKEDURU (IHO),,PRI. SCH. UMUEHIHIE,16/08/12/006,,false
IMO,IKEDURU (IHO),,PRI. SCHOOL NDIUHUOBOKWE,16/08/12/005,,false
IMO,IKEDURU (IHO),,UMUOHEE/UMUOMI SQUARE,16/08/12/010,,false
IMO,IKEDURU (IHO),,UMUDIAMANGBA VILL. SQ.,16/08/12/016,,false
IMO,IKEDURU (IHO),,AMAEKE UMUEHIHIE VILLAGE SQUARE,16/08/12/021,,false
IMO,IKEDURU (IHO),,AMAMEKA/UMUODU VILLAGE SQ,16/08/12/020,,false
IMO,IKEDURU (IHO),,AMAUKWU UMUALUME HALL,16/08/12/026,,false
IMO,IKEDURU (IHO),,NDIAZURU HALL UMUCHOKE,16/08/12/025,,false
IMO,IKEDURU (IHO),,AMAOZUZU UMUALUMAKU HALL,16/08/12/030,,false
IMO,IKEDURU (IHO),,UMUKOCHA HALL,16/08/12/014,,false
IMO,IKEDURU (IHO),,UMUAGWU ISINKWO VILL. SQ.,16/08/12/019,,false
IMO,IKEDURU (IHO),,COMM. PRIMARY SCHOOL UMUOMA 2,16/08/12/024,,false
IMO,IKEDURU (IHO),,AMAUKWU VILLAGE HALL,16/08/12/029,,false
