state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
IMO,NWANGELE (ONU-NWANGELE AMAIGBO),,UMUOKAM HALL,16/15/06/003,,false
IMO,NWANGELE (ONU-NWANGELE AMAIGBO),,COMM. HIGH SCH.,16/15/06/002,,true
IMO,NWANGELE (ONU-NWANGELE AMAIGBO),,URIABIA HALL,16/15/06/015,,false
IMO,NWANGELE (ONU-NWANGELE AMAIGBO),,NWAFOR UMULOLO  HALL,16/15/06/012,,true
IMO,NWANGELE (ONU-NWANGELE AMAIGBO),,STATE PRIMARY SCHOOL,16/15/06/010,,false
IMO,NWANGELE (ONU-NWANGELE AMAIGBO),,OGWUAGA HALL,16/15/06/009,,true
IMO,NWANGELE (ONU-NWANGELE AMAIGBO),,OTEKE HALL,16/15/06/008,,false
IMO,NWANGELE (ONU-NWANGELE AMAIGBO),,COMM. SCHOOL ABBA,16/15/06/007,,true
IMO,NWANGELE (ONU-NWANGELE AMAIGBO),,TOWN SCHOOL ABBA,16/15/06/001,,false
IMO,NWANGELE (ONU-NWANGELE AMAIGBO),,UMUEZEALAIBE HALL,16/15/06/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3409/ward/21098/pu/46635/46635-1677522623.pdf,false
IMO,NWANGELE (ONU-NWANGELE AMAIGBO),,UMUOKPARA HALL,16/15/06/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3409/ward/21098/pu/46626/46626-1677520652.pdf,false
IMO,NWANGELE (ONU-NWANGELE AMAIGBO),,UMUEZEALA HALL,16/15/06/014,,false
IMO,NWANGELE (ONU-NWANGELE AMAIGBO),,CENTRAL SCHOOL ABBA,16/15/06/004,,false
IMO,NWANGELE (ONU-NWANGELE AMAIGBO),,UMUDURUAGWU HALL,16/15/06/006,,false
IMO,NWANGELE (ONU-NWANGELE AMAIGBO),,UMUONUNA HALL,16/15/06/013,,false
