state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
IMO,OGUTA (OGUTA),ORU,COMM. SCH. NNEBUKWU,16/17/09/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/46826/result_104600_1677677805_thumb.jpg,false
IMO,OGUTA (OGUTA),ORU,PRIMARY SCH. ORSU OBODO IV,16/17/09/007,,false
IMO,OGUTA (OGUTA),ORU,COMM. SCH. EZI ORSU II,16/17/09/012,,false
IMO,OGUTA (OGUTA),ORU,OLD PRI. SCH. ORSU-OBODO II,16/17/09/017,,false
IMO,OGUTA (OGUTA),ORU,TOWN SCH. K.BEACH,16/17/09/022,,false
IMO,OGUTA (OGUTA),ORU,PRIMARY SCH. ORSU OBODO I,16/17/09/004,,false
IMO,OGUTA (OGUTA),ORU,PRIMARY SCH. NKWESI,16/17/09/001,,false
IMO,OGUTA (OGUTA),ORU,AMAYI PRI. SCH. EZI-ORSU I,16/17/09/009,,false
IMO,OGUTA (OGUTA),ORU,PLAY GROUND ORSU-OBODO,16/17/09/014,,false
IMO,OGUTA (OGUTA),ORU,PRIMARY SCH. ORSU OBODO III,16/17/09/006,,false
IMO,OGUTA (OGUTA),ORU,TOWN SCHOOL MGBELE II,16/17/09/019,,false
IMO,OGUTA (OGUTA),ORU,COMM. SCH. EZI ORSU I,16/17/09/011,,false
IMO,OGUTA (OGUTA),ORU,OLD PRI. SCH. ORSU-OBODO I,16/17/09/016,,false
IMO,OGUTA (OGUTA),ORU,PRIMARY SCH. ORSU OBODO II,16/17/09/005,,false
IMO,OGUTA (OGUTA),ORU,TOWN SCH. MGBELE I,16/17/09/003,,false
IMO,OGUTA (OGUTA),ORU,UMUARANZE/OGBANKWA SQ,16/17/09/024,,false
IMO,OGUTA (OGUTA),ORU,AMAYI PRI. SCH. EZI ORSU II,16/17/09/010,,false
IMO,OGUTA (OGUTA),ORU,NKWESI HEALTH POST,16/17/09/021,,false
IMO,OGUTA (OGUTA),ORU,COMM. PRI. SCH. K.-BEACH,16/17/09/008,,false
IMO,OGUTA (OGUTA),ORU,PRI. SCHOOL ORSU OBODO,16/17/09/015,,false
IMO,OGUTA (OGUTA),ORU,AMAYI PRI. SCH. EZI ORSU,16/17/09/013,,false
IMO,OGUTA (OGUTA),ORU,PRIMARY SCHOOL NNEBUKWU,16/17/09/020,,false
IMO,OGUTA (OGUTA),ORU,ANYAUBURU SQ,16/17/09/025,,false
IMO,OGUTA (OGUTA),ORU,NNEBUKWU PRI. SCHOOL,16/17/09/018,,false
IMO,OGUTA (OGUTA),ORU,UMUNDANIKE SQ,16/17/09/023,,false
