state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
IMO,ORLU,UMUDIOKA,DIMAMOKE SQ.,16/21/06/001,,false
IMO,ORLU,UMUDIOKA,PRIM. SCH. OW. UMUDIOKA I,16/21/06/006,,false
IMO,ORLU,UMUDIOKA,UMUAWAKA SQUARE,16/21/06/011,,false
IMO,ORLU,UMUDIOKA,UMUDIMAKU SQUARE,16/21/06/005,,false
IMO,ORLU,UMUDIOKA,OKWARANWANEDO,16/21/06/010,,false
IMO,ORLU,UMUDIOKA,UMUDOKA SEC. SCHOOL,16/21/06/004,,false
IMO,ORLU,UMUDIOKA,UMUDOKA TOWN HALL,16/21/06/003,,false
IMO,ORLU,UMUDIOKA,PROGRESS PRIM. SCH. UMUDIOKA,16/21/06/009,,false
IMO,ORLU,UMUDIOKA,ELUAMA SQUARE,16/21/06/008,,false
IMO,ORLU,UMUDIOKA,UMUZI OKWARANWAEDO SQ.,16/21/06/002,,false
IMO,ORLU,UMUDIOKA,PRIM. SCH. OW. UMUDIOKA II,16/21/06/007,,false
