state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
IMO,ORLU,,UMUORJI HALL,16/21/11/003,,false
IMO,ORLU,,UMUNOBA SQUARE,16/21/11/008,,false
IMO,ORLU,,UMUANU SQUARE,16/21/11/013,,false
IMO,ORLU,,UMUDURUAKU SQUARE II,16/21/11/002,,false
IMO,ORLU,,UMUNOBA HALL,16/21/11/007,,false
IMO,ORLU,,UMUDURUAKU SQUARE I,16/21/11/001,,false
IMO,ORLU,,UMUDIMOHA HALL,16/21/11/012,,false
IMO,ORLU,,UMUNANTA HALL,16/21/11/006,,false
IMO,ORLU,,PREMIER PRIM. SCH. UMUANUMEZE,16/21/11/011,,false
IMO,ORLU,,CENTRAL SCHOOL EZIACHI,16/21/11/005,,false
IMO,ORLU,,UMUNEZE COMM. SEC. SCHOOL,16/21/11/010,,false
IMO,ORLU,,AMAUKWU OKOROGWU SQUARE,16/21/11/004,,false
IMO,ORLU,,UMUNEZE SQUARE,16/21/11/009,,false
IMO,ORLU,,UMUDIMODU VILLAGE SQ.,16/21/11/014,,false
