state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
IMO,ORSU (AWO IDEMILI),ORSU IHITEUKWA,PRI. SCH. UBAHA ORSU,16/22/07/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/07/pu/005/005-1677424483.pdf,false
IMO,ORSU (AWO IDEMILI),ORSU IHITEUKWA,SEC. SCH. ORSU IHITIEUKWA,16/22/07/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/07/pu/008/008-1677423079.pdf,false
IMO,ORSU (AWO IDEMILI),ORSU IHITEUKWA,CENT. SCH. ORSU IHITEUKWA,16/22/07/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/07/pu/001/001-1677422538.pdf,false
IMO,ORSU (AWO IDEMILI),ORSU IHITEUKWA,UNION PRIM. SCH. UMUNAMA,16/22/07/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/07/pu/003/003-1677421606.pdf,false
IMO,ORSU (AWO IDEMILI),ORSU IHITEUKWA,ONYEMEGBULEM SQUARE UBAHA,16/22/07/010,,false
IMO,ORSU (AWO IDEMILI),ORSU IHITEUKWA,OBOM-UDA HALL,16/22/07/015,,false
IMO,ORSU (AWO IDEMILI),ORSU IHITEUKWA,UNION PRIM. SCH. UBAHA ORSU,16/22/07/004,,false
IMO,ORSU (AWO IDEMILI),ORSU IHITEUKWA,IGWEBUIKE TOWN HALL,16/22/07/009,,false
IMO,ORSU (AWO IDEMILI),ORSU IHITEUKWA,UBAHANGWU VILL. SQUARE HALL (ETITI ORSU),16/22/07/014,,false
IMO,ORSU (AWO IDEMILI),ORSU IHITEUKWA,EKEK UTUTU MARKET SQUARE,16/22/07/013,,false
IMO,ORSU (AWO IDEMILI),ORSU IHITEUKWA,UNION PRIM. SCH. OKURU,16/22/07/002,,false
IMO,ORSU (AWO IDEMILI),ORSU IHITEUKWA,ONYMEWULEM VILLAGE SQUARE,16/22/07/007,,false
IMO,ORSU (AWO IDEMILI),ORSU IHITEUKWA,EZI AMIHIE VILL. SQUARE,16/22/07/012,,false
IMO,ORSU (AWO IDEMILI),ORSU IHITEUKWA,AMIHIE PRIMARY SCHOOL,16/22/07/006,,false
IMO,ORSU (AWO IDEMILI),ORSU IHITEUKWA,AMA EZEKWERE VILLAGE SQUARE,16/22/07/011,,false
