state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,PRIMARY  SCHOOL OHII I,16/27/09/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48110/result_106459_1677528302_thumb.jpg,true
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,COMM. SCHOOL OHII II,16/27/09/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3421/ward/21238/pu/48206/48206-1677588133.pdf,true
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,MILITARY ZONE ESHIMESHI OHII,16/27/09/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/019/019-1677388610.pdf,false
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,UBA VILLAGE SQUARE (AMAWUIHE OHII),16/27/09/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/018/018-1677369677.pdf,false
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,COMM. SCHOOL OHII I,16/27/09/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/011/011-1677372298.pdf,false
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,PRIMARY  SCHOOL OHII II,16/27/09/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/010/010-1677370473.pdf,false
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,UMUOKA HALL AMAKOHIA UBII,16/27/09/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/016/016-1677370447.pdf,false
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,COMM. SCHOOL AMAKOHIAUBI II,16/27/09/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/004/004-1677359463.pdf,false
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,COMM. SCHOOL NDEGWU I,16/27/09/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/007/007-1677360304.pdf,false
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,COMM. SCHOOL AMAKOHIAUBI IV,16/27/09/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/015/015-1677360193.pdf,false
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,COMM. SCHOOL AMAKOHIAUBI III,16/27/09/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/013/013-1677359958.pdf,false
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,AMAEGWU UMUOMARA NDEGWU,16/27/09/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/017/017-1677359740.pdf,false
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,COMM. SCHOOL NDEGWU II,16/27/09/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/008/008-1677359244.pdf,false
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,PRIMARY SCHOOL NDEGWU III,16/27/09/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/014/014-1677359204.pdf,false
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,COMM. SCHOOL AMAKOHIAUBI I,16/27/09/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/003/003-1677358937.pdf,false
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,PRIMARY SCHOOL NDEGWU II,16/27/09/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/006/006-1677358922.pdf,false
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,PRIMARY SCHOOL AMAKOHIA UBI II,16/27/09/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/002/002-1677358768.pdf,false
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,PRIMARY SCHOOL AMAKOHIA UBI I,16/27/09/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/001/001-1677358764.pdf,false
IMO,OWERRI WEST (UMUGUMA),AMAKOHIA-UBI/NDEGWU OHII,PRIMARY SCHOOL NDEGWU I,16/27/09/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/27/ward/09/pu/005/005-1677358546.pdf,false
