state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
JIGAWA,BIRNIN KUDU,KANGIRE,GIDAN BELLO/GIDAN BELLO,17/03/02/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48454/result_106912_1677656771_thumb.jpg,false
JIGAWA,BIRNIN KUDU,KANGIRE,UNGUWAR LEMO / UNGUWAR LEMO,17/03/02/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3424/ward/21262/pu/48545/48545-1677539614.pdf,false
JIGAWA,BIRNIN KUDU,KANGIRE,ZADAU/ZADAU,17/03/02/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3424/ward/21262/pu/48564/48564-1677537662.pdf,false
JIGAWA,BIRNIN KUDU,KANGIRE,BABBAN TITI/GIDAN DAN GARI,17/03/02/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3424/ward/21262/pu/48562/48562-1677536785.pdf,false
JIGAWA,BIRNIN KUDU,KANGIRE,RIGAR FADAMA/RIGAR FADAMA,17/03/02/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3424/ward/21262/pu/48544/48544-1677531012.pdf,false
JIGAWA,BIRNIN KUDU,KANGIRE,KUKAR JAFARU,17/03/02/025,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3424/ward/21262/pu/48565/48565-1677530208.pdf,false
JIGAWA,BIRNIN KUDU,KANGIRE,DUHUWA RAJU/DUHUWA RAJU,17/03/02/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3424/ward/21262/pu/48557/48557-1677529033.pdf,false
JIGAWA,BIRNIN KUDU,KANGIRE,JUWAN TUDU PRI. SCH.  II,17/03/02/027,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3424/ward/21262/pu/144328/144328-1677523047.pdf,false
JIGAWA,BIRNIN KUDU,KANGIRE,KANGIRE GABAS/KANGIRE FILI,17/03/02/003,,false
JIGAWA,BIRNIN KUDU,KANGIRE,UNGUWAR MAKADDAS /JUWANTUDU,17/03/02/008,,false
JIGAWA,BIRNIN KUDU,KANGIRE,DUMAS GABAS/ DUMUS P.SCH.,17/03/02/013,,false
JIGAWA,BIRNIN KUDU,KANGIRE,KURIMA/KOFAR AMBO,17/03/02/018,,false
JIGAWA,BIRNIN KUDU,KANGIRE,DANGAJE/DANGAJE,17/03/02/023,,false
JIGAWA,BIRNIN KUDU,KANGIRE,FIRYA,17/03/02/028,,false
JIGAWA,BIRNIN KUDU,KANGIRE,MADAKANCHI POLE WIRE,17/03/02/033,,false
JIGAWA,BIRNIN KUDU,KANGIRE,KANGIRE YAMMA/AREWA/KANGIRE P.S,17/03/02/001,,false
JIGAWA,BIRNIN KUDU,KANGIRE,JANRUWA/JANRUWA,17/03/02/006,,false
JIGAWA,BIRNIN KUDU,KANGIRE,DUMUS TSANGAYA/DUMUS TSANGAYA,17/03/02/011,,false
JIGAWA,BIRNIN KUDU,KANGIRE,HALIMBE GIDAN BELLO/HALIMBE GIDAN BELLO,17/03/02/016,,false
JIGAWA,BIRNIN KUDU,KANGIRE,GWALA/GWALA,17/03/02/002,,false
JIGAWA,BIRNIN KUDU,KANGIRE,KUKAR DAN SARKI/KUKAR DAN SARKI,17/03/02/021,,false
JIGAWA,BIRNIN KUDU,KANGIRE,KANGIRE PRI. SCH.  II.,17/03/02/026,,false
JIGAWA,BIRNIN KUDU,KANGIRE,DUMUS GABAS/YAMMA/DUMUS GABAS,17/03/02/012,,false
JIGAWA,BIRNIN KUDU,KANGIRE,UNGUWAR MAKADDAS /JUWAN KWARI,17/03/02/009,,false
JIGAWA,BIRNIN KUDU,KANGIRE,GINDIN TRANSFORMER DANGARI,17/03/02/031,,false
JIGAWA,BIRNIN KUDU,KANGIRE,YALWA GABAS/YAMMA/YALWA YAMMA,17/03/02/014,,false
JIGAWA,BIRNIN KUDU,KANGIRE,TSANGAYAR M. HALLIRU/GIDAN M. HALLIRU,17/03/02/019,,false
JIGAWA,BIRNIN KUDU,KANGIRE,MAKWALLA,17/03/02/032,,false
JIGAWA,BIRNIN KUDU,KANGIRE,KAN-KAROFI,17/03/02/029,,false
JIGAWA,BIRNIN KUDU,KANGIRE,SHAWU GABAS/YAMMA/SHAWU P.SCH.,17/03/02/010,,false
JIGAWA,BIRNIN KUDU,KANGIRE,WAZA GABAS/YAMMA/WAZA YAMMA,17/03/02/015,,false
JIGAWA,BIRNIN KUDU,KANGIRE,UNGUWAR BUSA/GIDAN HARUNA TIGA,17/03/02/020,,false
JIGAWA,BIRNIN KUDU,KANGIRE,U.B.E SCH.,17/03/02/030,,false
