state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
JIGAWA,BIRNIN KUDU,,KUWO SABUWA/TSOHUWA KUWO SABUWA,17/03/06/003,,false
JIGAWA,BIRNIN KUDU,,MASAYA P.SCH./ MASAYA PRI. SCH.,17/03/06/008,,false
JIGAWA,BIRNIN KUDU,,"JIGAWAR NASARA  , JIGAWAR NASARA  P. SCH.",17/03/06/013,,false
JIGAWA,BIRNIN KUDU,,JINGINA,17/03/06/018,,false
JIGAWA,BIRNIN KUDU,,LAFIYA P.SCH.,17/03/06/001,,false
JIGAWA,BIRNIN KUDU,,JIKAINA / JIKAINA,17/03/06/002,,false
JIGAWA,BIRNIN KUDU,,"KEWAYA, KEWAYA",17/03/06/006,,false
JIGAWA,BIRNIN KUDU,,"KURA SABUWA, KURA SABUWA",17/03/06/004,,false
JIGAWA,BIRNIN KUDU,,"DAMUKASHI, DAMUKASHI P.SCH.",17/03/06/011,,false
JIGAWA,BIRNIN KUDU,,LADDUGA/LARAU/KWANKIYALLADDUGA,17/03/06/007,,false
JIGAWA,BIRNIN KUDU,,TUKUDA AREWA TUKUDA P.SCH.,17/03/06/016,,false
JIGAWA,BIRNIN KUDU,,"DAMUKASHI GARI, DAMUKASHI GARI",17/03/06/012,,false
JIGAWA,BIRNIN KUDU,,MASAYA KUDU/AREWA MASAYA KUDU,17/03/06/009,,false
JIGAWA,BIRNIN KUDU,,TUKUDA KUDU TUKUDA P.SCH.,17/03/06/017,,false
JIGAWA,BIRNIN KUDU,,GOBIRAWA / RAKATIKAJ / NASARA P.SCH.,17/03/06/014,,false
JIGAWA,BIRNIN KUDU,,"KURA TSOHUWA, KURA TSOHUWA",17/03/06/005,,false
JIGAWA,BIRNIN KUDU,,MASAYA DORAWA DORAWA MAI YADO,17/03/06/010,,false
JIGAWA,BIRNIN KUDU,,SABUWAR JIGAWA/TOKARE SABUWAR JIGAWA,17/03/06/015,,false
