state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
JIGAWA,KIRIKA SAMMA,TSHEGUWA,KUIT PRI. SCH./ KUIT,17/18/09/003,,true
JIGAWA,KIRIKA SAMMA,TSHEGUWA,KIRAMISAU PRI. SCH./ KIRAMISAU,17/18/09/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/18/ward/09/pu/005/005-1677412583.pdf,false
JIGAWA,KIRIKA SAMMA,TSHEGUWA,TASHEGUWA PRI. SCH. / TSHEGUWA II,17/18/09/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/18/ward/09/pu/002/002-1677412077.pdf,false
JIGAWA,KIRIKA SAMMA,TSHEGUWA,GARIN MAGAJI/GARIN MAGAJI,17/18/09/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/18/ward/09/pu/004/004-1677411458.pdf,false
JIGAWA,KIRIKA SAMMA,TSHEGUWA,GARIN TURAKI,17/18/09/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/18/ward/09/pu/008/008-1677405691.pdf,false
JIGAWA,KIRIKA SAMMA,TSHEGUWA,RUBBA/RUBBA,17/18/09/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/18/ward/09/pu/007/007-1677405398.pdf,false
JIGAWA,KIRIKA SAMMA,TSHEGUWA,MALUMAWA/MALUMAWA,17/18/09/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/18/ward/09/pu/009/009-1677403870.pdf,false
JIGAWA,KIRIKA SAMMA,TSHEGUWA,TASHEGUWA DISPENSARY,17/18/09/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/18/ward/09/pu/011/011-1677402851.pdf,false
JIGAWA,KIRIKA SAMMA,TSHEGUWA,TASHEGUWA PRI. SCH./TSHEGUWA I,17/18/09/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/18/ward/09/pu/001/001-1677402635.pdf,false
JIGAWA,KIRIKA SAMMA,TSHEGUWA,KUIT PRIMARY HEALTH CARE,17/18/09/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/18/ward/09/pu/010/010-1677401644.pdf,false
JIGAWA,KIRIKA SAMMA,TSHEGUWA,GARIN DANMAINA/GARIN DANMAINA,17/18/09/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/18/ward/09/pu/006/006-1677380657.pdf,false
