state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
JIGAWA,MALAM MADORI,,GARI GABAS TSOHUWA PRI. SCH.,17/21/04/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/04/pu/003/003-1677369442.pdf,false
JIGAWA,MALAM MADORI,,DISPENSARY OFFICE/BAKIN KASUWA,17/21/04/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/04/pu/008/008-1677367494.pdf,false
JIGAWA,MALAM MADORI,,UNGUWAR FADA/UNGUWAR FADA,17/21/04/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/04/pu/001/001-1677363601.pdf,false
JIGAWA,MALAM MADORI,,TSOHUWAR PRIMARY SCHOOL I,17/21/04/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/04/pu/011/011-1677362504.pdf,false
JIGAWA,MALAM MADORI,,GIDAN MAIGARI/CHIRAWA,17/21/04/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/04/pu/002/002-1677362335.pdf,false
JIGAWA,MALAM MADORI,,JALAWA PRI. SCH.,17/21/04/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/04/pu/006/006-1677362211.pdf,false
JIGAWA,MALAM MADORI,,KOFAR HAKIMI,17/21/04/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/04/pu/010/010-1677361942.pdf,false
JIGAWA,MALAM MADORI,,GIDAN MAIGARI/MAISO,17/21/04/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/04/pu/005/005-1677361594.pdf,false
JIGAWA,MALAM MADORI,,KOFAR MAIGARI/HANAKASHE,17/21/04/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/04/pu/007/007-1677361085.pdf,false
JIGAWA,MALAM MADORI,,GIDAN MAIGARI/MASKADU BADERI,17/21/04/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/04/pu/004/004-1677360955.pdf,false
JIGAWA,MALAM MADORI,,DISPENSARY BAKIN KASUWA I,17/21/04/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/04/pu/012/012-1677360401.pdf,false
JIGAWA,MALAM MADORI,,GIDAN MAI UNGUWA/UNGUWAR MAIDOKI,17/21/04/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/04/pu/009/009-1677360249.pdf,false
JIGAWA,MALAM MADORI,,GIDAN/MAI UNGUWA U/MAIGARI,17/21/04/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/04/pu/013/013-1677359510.pdf,false
