state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
JIGAWA,MIGA,,ZUNGURAWA - TAKALAFIYA - ZUNGURAWA,17/22/02/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51019/result_110180_1677694800_thumb.jpg,false
JIGAWA,MIGA,,GARIN AMADU - GARBO - GARIN - AMADU,17/22/02/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51016/result_110177_1677694699_thumb.jpg,false
JIGAWA,MIGA,,HARBO - GARBO - C/GARI,17/22/02/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
JIGAWA,MIGA,,ALFA-GARBO - ALFA   II,17/22/02/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/02/pu/002/002-1677410371.pdf,false
JIGAWA,MIGA,,SABARA - ZUNGURAWA,17/22/02/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/02/pu/009/009-1677408146.pdf,false
JIGAWA,MIGA,,GDSSS TAKALAFIYA,17/22/02/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/02/pu/008/008-1677407582.pdf,false
JIGAWA,MIGA,,ALFA-GARBO - ALFA   I,17/22/02/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/02/pu/001/001-1677406820.pdf,false
JIGAWA,MIGA,,JSS GARBO,17/22/02/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/02/pu/010/010-1677405901.pdf,false
JIGAWA,MIGA,,KORAN - DABO  TAKALAFIYA - KORAN  - DABO,17/22/02/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/02/pu/006/006-1677405314.pdf,false
JIGAWA,MIGA,,HARBO H/CLINIC,17/22/02/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/02/pu/011/011-1677404982.pdf,false
JIGAWA,MIGA,,TAKALAFIYA PRI. SCH. TAKALAFIYA C/GARI,17/22/02/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/02/pu/005/005-1677404508.pdf,false
