state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
JIGAWA,TAURA,,VILLAGE HEAD GROUND/ GALADIMAWA,17/26/08/007,https://docs.inecelectionresults.net/elections/1292/1677692206-51674.pdf,false
JIGAWA,TAURA,,MAJIYA  YAMMA /PRIMARY SCHOOL I,17/26/08/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/26/ward/08/pu/001/001-1677420144.pdf,false
JIGAWA,TAURA,,GURTAWA /PRIMARY SCHOOL III,17/26/08/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/26/ward/08/pu/011/011-1677419285.pdf,false
JIGAWA,TAURA,,MAJIYA  GABAS /PRIMARY SCHOOL II,17/26/08/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/26/ward/08/pu/004/004-1677419099.pdf,false
JIGAWA,TAURA,,MAJIYA  YAMMA /PRIMARY SCHOOL II,17/26/08/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/26/ward/08/pu/002/002-1677417507.pdf,false
JIGAWA,TAURA,,MAJIYA  TASHA /PRIMARY SCHOOL,17/26/08/005,,false
JIGAWA,TAURA,,GURJAWA  /PRIMARY SCHOOL II,17/26/08/010,,false
JIGAWA,TAURA,,MAJIYA  GABAS /PRIMARY SCHOOL I,17/26/08/003,,false
JIGAWA,TAURA,,VILLAGE HEAD GROUND /TSAGADU,17/26/08/008,,false
JIGAWA,TAURA,,VILLAGE HEAD GROUND/ (YANFARI),17/26/08/013,,false
JIGAWA,TAURA,,VILLAGE HEAD GROUND/ RIGAR ATU,17/26/08/006,,false
JIGAWA,TAURA,,GURJAWA  /PRIMARY SCHOOL I,17/26/08/009,,false
JIGAWA,TAURA,,VILLAGE HEAD GROUND /(GANYAWA),17/26/08/014,,false
JIGAWA,TAURA,,NOMI/GAMBAWA /PRIMARY SCHOOL,17/26/08/012,,false
