state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KADUNA,IGABI,,UNG. SHADARI,18/04/10/033,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/145786/145786-1677753327.pdf,false
KADUNA,IGABI,,LEA SABON GARI MARABAN JOS,18/04/10/037,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/145790/145790-1677701729.pdf,true
KADUNA,IGABI,,KATABU TRANSMISSION STATION,18/04/10/035,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/145788/145788-1677701403.pdf,true
KADUNA,IGABI,,NORMADIC PRI. SCH.FOUNDATION,18/04/10/034,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/145787/145787-1677701201.pdf,false
KADUNA,IGABI,,RIHOGI II,18/04/10/028,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52676/52676-1677700582.pdf,false
KADUNA,IGABI,,RIHOGI I,18/04/10/027,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52675/52675-1677699878.pdf,true
KADUNA,IGABI,,UNG. JA'AFARU,18/04/10/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52672/52672-1677699306.pdf,false
KADUNA,IGABI,,BABBAN GIDA II,18/04/10/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52671/52671-1677699081.pdf,true
KADUNA,IGABI,,UNG. GWARI,18/04/10/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52669/52669-1677698789.pdf,false
KADUNA,IGABI,,UNG. DANKANDE,18/04/10/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52668/52668-1677698621.pdf,false
KADUNA,IGABI,,UNG. BABAJO II,18/04/10/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52665/52665-1677698185.pdf,false
KADUNA,IGABI,,UNG. LIMAN I,18/04/10/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52662/52662-1677697950.pdf,true
KADUNA,IGABI,,MAKERA I,18/04/10/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52659/52659-1677697770.pdf,false
KADUNA,IGABI,,UNG. MARABA,18/04/10/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52661/52661-1677696955.pdf,false
KADUNA,IGABI,,MAKERA II,18/04/10/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52660/52660-1677696680.pdf,false
KADUNA,IGABI,,MAZADU,18/04/10/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52658/52658-1677696196.pdf,false
KADUNA,IGABI,,UNG. SHAGOJI,18/04/10/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52656/52656-1677695982.pdf,false
KADUNA,IGABI,,S/GIDAN ABALA II,18/04/10/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52655/52655-1677695595.pdf,false
KADUNA,IGABI,,S/GIDAN ABALA I,18/04/10/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52654/52654-1677695451.pdf,true
KADUNA,IGABI,,KWARAU TASHA II,18/04/10/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52653/52653-1677695028.pdf,false
KADUNA,IGABI,,KWARAU TASHA I,18/04/10/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52652/52652-1677694896.pdf,false
KADUNA,IGABI,,UNG. SARKIN NOMA,18/04/10/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52657/52657-1677694303.pdf,false
KADUNA,IGABI,,NEPA HOUSE MARABAN JOS,18/04/10/036,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/145789/145789-1677511508.pdf,false
KADUNA,IGABI,,GSS BIRNIN YERO,18/04/10/032,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/145785/145785-1677511117.pdf,false
KADUNA,IGABI,,KWARAU HAYIN TASHA TRANSFORMER,18/04/10/031,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/145784/145784-1677510915.pdf,false
KADUNA,IGABI,,KWARAU TASHA III,18/04/10/030,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52678/52678-1677510737.pdf,false
KADUNA,IGABI,,RIHOGI III,18/04/10/029,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52677/52677-1677509938.pdf,false
KADUNA,IGABI,,UNG. LIMAN,18/04/10/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52651/52651-1677505509.pdf,false
KADUNA,IGABI,,UNG. BABAJO I,18/04/10/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52664/52664-1677505407.pdf,false
KADUNA,IGABI,,UNG. SOKWATAWA,18/04/10/026,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52674/52674-1677499978.pdf,false
KADUNA,IGABI,,KAFIN GWARI,18/04/10/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52667/52667-1677498191.pdf,false
KADUNA,IGABI,,UNG. CHIKAJI,18/04/10/025,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52673/52673-1677495226.pdf,false
KADUNA,IGABI,,SARKIN KWARAU I,18/04/10/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3452/ward/21570/pu/52649/52649-1677491442.pdf,false
KADUNA,IGABI,,SARKIN KWARAU II,18/04/10/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/10/pu/002/002-1677424735.pdf,false
KADUNA,IGABI,,BABBAN GADA I,18/04/10/022,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/10/pu/022/022-1677423818.pdf,false
KADUNA,IGABI,,PRI. HEALTH CARE MARABAN JOS,18/04/10/039,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/10/pu/039/039-1677412026.pdf,false
KADUNA,IGABI,,YAHAYA HAMZA ROAD,18/04/10/038,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/10/pu/038/038-1677410944.pdf,false
KADUNA,IGABI,,UBE SABON GARIN KANGIMI,18/04/10/041,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/10/pu/041/041-1677410828.pdf,false
KADUNA,IGABI,,PRI. HEALTH CARE DANKANDE,18/04/10/040,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/10/pu/040/040-1677410092.pdf,false
KADUNA,IGABI,,RIGACHIKUN ROAD,18/04/10/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/10/pu/018/018-1677394842.pdf,false
KADUNA,IGABI,,UNG. LIMAN II,18/04/10/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/10/pu/015/015-1677394370.pdf,false
KADUNA,IGABI,,PRI. HEALTH CARE CENTRE RUHOGI,18/04/10/042,,false
