state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KADUNA,JABA,CHORI,UNG. ARZUKA/ K/GIDAN SARKI,18/06/08/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3454/ward/21590/pu/53006/53006-1677618274.pdf,false
KADUNA,JABA,CHORI,UNG. FADEIK/ PRIMARY SCHOOL,18/06/08/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3454/ward/21590/pu/53004/53004-1677618130.pdf,true
KADUNA,JABA,CHORI,UNG. BUWARYE/ K/GIDAN MAIANGUWA,18/06/08/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3454/ward/21590/pu/53001/53001-1677618107.pdf,true
KADUNA,JABA,CHORI,UNG. DAUJI/TSAUNI II/ K/GIDAN MAIANGUWA II,18/06/08/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3454/ward/21590/pu/53009/53009-1677618049.pdf,false
KADUNA,JABA,CHORI,UNG. MAKAMA CHIROMA/ K/GIDAN CHIROMA,18/06/08/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3454/ward/21590/pu/53007/53007-1677617764.pdf,true
KADUNA,JABA,CHORI,UNG. SARKIN FADEIK/ K/GIDAN SARKI,18/06/08/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3454/ward/21590/pu/53008/53008-1677617719.pdf,false
KADUNA,JABA,CHORI,UNG. BARAKI/ PRIMARY SCHOOL,18/06/08/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3454/ward/21590/pu/53002/53002-1677617667.pdf,false
KADUNA,JABA,CHORI,UNG. GALADIMA I/ K/GIDAN MAIANGUWA II,18/06/08/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3454/ward/21590/pu/53003/53003-1677617418.pdf,true
KADUNA,JABA,CHORI,UNG. KATUKA II,18/06/08/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3454/ward/21590/pu/146000/146000-1677617373.pdf,false
KADUNA,JABA,CHORI,UNG. KATUKA/ K/GIDAN SARKI,18/06/08/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3454/ward/21590/pu/52999/52999-1677617117.pdf,false
KADUNA,JABA,CHORI,UNG. DAUJI/TSAUNI/ K/GIDAN MAIANGUWA I,18/06/08/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3454/ward/21590/pu/53000/53000-1677616862.pdf,true
KADUNA,JABA,CHORI,UNG. MAKAMA/ K/GIDAN MAKAMA,18/06/08/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/08/pu/007/007-1677386198.pdf,false
KADUNA,JABA,CHORI,UNG. GALADIMA II/ K/GIDAN GALADIMA II,18/06/08/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/08/pu/012/012-1677385610.pdf,false
