state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KADUNA,KACHIA,,GRAZING I/ G/SARKI GRAZING,18/08/01/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3456/ward/21605/pu/53253/53253-1677690636.pdf,true
KADUNA,KACHIA,,TUDUN MAJE,18/08/01/031,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3456/ward/21605/pu/146123/146123-1677690370.pdf,true
KADUNA,KACHIA,,GORAH/ PRI. SCH. GORA,18/08/01/007,,true
KADUNA,KACHIA,,KASAI/ PRI. SCH. KASAI,18/08/01/014,,true
KADUNA,KACHIA,,ANTAI/ L.E.A. ANTAI,18/08/01/013,,true
KADUNA,KACHIA,,AGUNU/ GIDAN AUDI,18/08/01/012,,true
KADUNA,KACHIA,,SAKWAI/ L.E.A. SABON KAURA,18/08/01/008,,true
KADUNA,KACHIA,,KATUL/ L.E.A. KATUL,18/08/01/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3456/ward/21605/pu/53254/53254-1677563301.pdf,true
KADUNA,KACHIA,,SABON KAURA/ L.E.A. SABON KAURA,18/08/01/009,,true
KADUNA,KACHIA,,KURMIN BIRI III/ K/G MAI UNGUWA,18/08/01/018,,true
KADUNA,KACHIA,,ALLAH MAGANI/ KOFAR G/SARKI,18/08/01/016,,true
KADUNA,KACHIA,,KURMIN BIRI I/ L.E.A. KURMIN BIRI,18/08/01/010,,true
KADUNA,KACHIA,,UNGUWAN MAIGORO/ KOFAR G/SARKI,18/08/01/015,,true
KADUNA,KACHIA,,ADAGE/ PRI. SCH. ADAGE,18/08/01/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3456/ward/21605/pu/53255/53255-1677563536.pdf,true
KADUNA,KACHIA,,KUTURU RIMI/ L.E.A. KUTURU RIMI,18/08/01/003,,true
KADUNA,KACHIA,,GADANAJI/ L.E.A. GADANAJI,18/08/01/001,,true
KADUNA,KACHIA,,UNG. DUTSE/ L.E.A. UNG. DUTSE,18/08/01/002,,true
KADUNA,KACHIA,,WURO YABAJI,18/08/01/029,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3456/ward/21605/pu/146121/146121-1677562934.pdf,true
KADUNA,KACHIA,,TIGGIRDE,18/08/01/028,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3456/ward/21605/pu/146120/146120-1677562595.pdf,true
