state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KADUNA,KACHIA,KATARI,BADOKO/HEALTH CARE,18/08/08/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3456/ward/21612/pu/146179/146179-1677686661.pdf,false
KADUNA,KACHIA,KATARI,KURUTU GABAS,18/08/08/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3456/ward/21612/pu/146178/146178-1677686392.pdf,true
KADUNA,KACHIA,KATARI,GIDAN MAGA/ K/GIDAN SARKI,18/08/08/009,,true
KADUNA,KACHIA,KATARI,UNG. KURMI,18/08/08/020,,true
KADUNA,KACHIA,KATARI,UNG. GOBURAWA,18/08/08/019,,true
KADUNA,KACHIA,KATARI,UNG. MISSION,18/08/08/018,,true
KADUNA,KACHIA,KATARI,UNG. MAIKARFI,18/08/08/017,,true
KADUNA,KACHIA,KATARI,GIDAN CITTA,18/08/08/016,,true
KADUNA,KACHIA,KATARI,UNG. ZAMFARA II/ K/G MAIUNGUWA,18/08/08/015,,true
KADUNA,KACHIA,KATARI,SARKIN KAUYE/ KOFAR G/SARKI,18/08/08/014,,true
KADUNA,KACHIA,KATARI,ALILI/ KOFAR G/SARKI,18/08/08/013,,true
KADUNA,KACHIA,KATARI,G/MAGAJI/ KOFAR G/SARKI,18/08/08/012,,true
KADUNA,KACHIA,KATARI,G/MADAKI/ KOFAR G/SARKI,18/08/08/011,,true
KADUNA,KACHIA,KATARI,GASHI/ KOFAR G/SARKI,18/08/08/010,,true
KADUNA,KACHIA,KATARI,BADOKO/ LEA BADOKO,18/08/08/008,,false
KADUNA,KACHIA,KATARI,ANGWANGWARA/ KOFAR G/SARKI,18/08/08/007,,false
KADUNA,KACHIA,KATARI,KURMIN KARE/ KOFAR G/SARKI,18/08/08/006,,true
KADUNA,KACHIA,KATARI,KUTUTU/ KOFAR G/SARKI,18/08/08/005,,true
KADUNA,KACHIA,KATARI,KATAMBI/ LEA KATAMBI,18/08/08/004,,true
KADUNA,KACHIA,KATARI,MADAKI GARI/ K/GIDAN SARKI,18/08/08/003,,true
KADUNA,KACHIA,KATARI,UNG. ZAMFARAWA/ KOFAR G/SARKI,18/08/08/002,,true
KADUNA,KACHIA,KATARI,GARIN KATARI/ LEA PRI.SCH.,18/08/08/001,,true
KADUNA,KACHIA,KATARI,UNG. MADA,18/08/08/025,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3456/ward/21612/pu/146181/146181-1677481768.pdf,false
KADUNA,KACHIA,KATARI,UNG. KABILA,18/08/08/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3456/ward/21612/pu/146180/146180-1677472451.pdf,false
KADUNA,KACHIA,KATARI,UNG. ABUBAKAR,18/08/08/021,,false
