state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KADUNA,KAURA,FADA,FADA/ UNG. NIBAN III,18/13/01/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/642281/result_115648_1677533393_thumb.jpg,true
KADUNA,KAURA,FADA,TUYIT/UNG. YASHIM KACHIO,18/13/01/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/642280/result_115647_1677533145_thumb.jpg,false
KADUNA,KAURA,FADA,FADA/ UNG. MAGAJI MALLAM,18/13/01/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/642279/result_115646_1677532863_thumb.jpg,false
KADUNA,KAURA,FADA,FADA/ UNG. BADAYANG,18/13/01/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/642278/result_115645_1677532721_thumb.jpg,true
KADUNA,KAURA,FADA,FADA/ UNG. DAUDA GABA,18/13/01/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/642277/result_115644_1677532542_thumb.jpg,true
KADUNA,KAURA,FADA,FADA/ ARAB BANK/ TC KAGORO,18/13/01/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54511/result_115643_1677532317_thumb.jpg,false
KADUNA,KAURA,FADA,FADA/ UNG. KATUNG DUTSE,18/13/01/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54510/result_115642_1677532162_thumb.jpg,true
KADUNA,KAURA,FADA,FADA/ UNG. LAMI SOGFA,18/13/01/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54509/result_115641_1677531900_thumb.jpg,false
KADUNA,KAURA,FADA,FADA/ ABIYONG KAHU II,18/13/01/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54508/result_115640_1677531743_thumb.jpg,true
KADUNA,KAURA,FADA,FADA/ ABIYONG KAHU I,18/13/01/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54507/result_115639_1677531495_thumb.jpg,false
KADUNA,KAURA,FADA,FADA/ SARKI YAKI,18/13/01/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54506/result_115638_1677531196_thumb.jpg,true
KADUNA,KAURA,FADA,DUTSE/ UNG. MUSA MANGANG,18/13/01/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54505/result_115637_1677530973_thumb.jpg,false
KADUNA,KAURA,FADA,FADA/ UNG. NEFAI SOGFA,18/13/01/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54504/result_115636_1677530744_thumb.jpg,false
KADUNA,KAURA,FADA,FADA DAJI/ UNG. NIBAN II,18/13/01/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54503/result_115635_1677530548_thumb.jpg,false
KADUNA,KAURA,FADA,FADA DAJI/ UNG. NIBAN I,18/13/01/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54502/result_115634_1677530232_thumb.jpg,false
KADUNA,KAURA,FADA,TUYIT/ UNG. KANWAI TUYIT,18/13/01/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54501/result_115633_1677529923_thumb.jpg,false
KADUNA,KAURA,FADA,FADA/ UNG. MUSA SHAKARAU,18/13/01/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54499/result_115631_1677529708_thumb.jpg,false
KADUNA,KAURA,FADA,FADA/ UNG. ABUN BILLY,18/13/01/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54498/result_115630_1677529126_thumb.jpg,false
KADUNA,KAURA,FADA,FADA/ UNG. AYAKPAT SOFA,18/13/01/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54497/result_115629_1677528907_thumb.jpg,false
KADUNA,KAURA,FADA,FADA/ UNG. SARKI FADA,18/13/01/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54496/result_115628_1677524762_thumb.jpg,false
KADUNA,KAURA,FADA,TUYIT/ UNG. CHAWAI YATAK,18/13/01/005,,false
