state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KADUNA,KUBAU,HASKIYA,MABUGA/ K/G UNGUWA,18/15/08/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54977/result_116278_1677632001_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,BUGAU II/ PRI. SCH.,18/15/08/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54976/result_116277_1677631956_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,YARDOKA/ K/G UNGUWA,18/15/08/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54971/result_116272_1677631909_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,CHIKAJI/ K/G UNGUWA,18/15/08/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54969/result_116270_1677631839_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,KANWA/ K/G UNGUWA,18/15/08/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54967/result_116268_1677631780_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,TASHAR MAIGORA/ K/G UNGUWA,18/15/08/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54980/result_116281_1677617040_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,TASHAR TSAMIYA/ K/G UNGUWA,18/15/08/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54973/result_116274_1677616359_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,UNG. BALA/ K/G UNGUWA,18/15/08/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54968/result_116269_1677615711_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,TASHAR KINCHIN/ K/G UNGUWA,18/15/08/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54972/result_116273_1677615422_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,BUGAU I/ PRI. SCH.,18/15/08/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54975/result_116276_1677614762_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,SALIHAWA/ K/G UNGUWA,18/15/08/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54983/result_116284_1677614039_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,RANAU/ K/G UNGUWA,18/15/08/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54970/result_116271_1677613467_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,WADAKA/ K/G UNGUWA,18/15/08/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54978/result_116279_1677612980_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,KWANDO/ K/G UNGUWA,18/15/08/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54966/result_116267_1677612278_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,FEGIN HASKIYA DANDALI,18/15/08/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/642418/result_116286_1677611745_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,YALWA/ K/G UNGUWA,18/15/08/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54982/result_116283_1677611433_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,KAGADAMA/ K/G UNGUWA,18/15/08/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54979/result_116280_1677611336_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,GATARAWA/ K/G UNGUWA,18/15/08/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54974/result_116275_1677610813_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,KURFI DANDALI KUDUDUMI,18/15/08/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/642417/result_116285_1677610489_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,KUDUMI/ PRI. SCH.,18/15/08/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54964/result_116265_1677610152_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,HASKIYA/ PRI. SCH.,18/15/08/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54963/result_116264_1677607181_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,DORI/ K/G UNGUWA,18/15/08/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54981/result_116282_1677605759_thumb.jpg,false
KADUNA,KUBAU,HASKIYA,KAMBU/ K/G UNGUWA,18/15/08/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54965/result_116266_1677596428_thumb.jpg,true
