state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KADUNA,SABON GARI,,LAYIN NADABO/ALH UMARU KONGO HOUSE,18/19/09/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/147588/147588-1677684165.pdf,false
KADUNA,SABON GARI,,UNG BARASHI/ UNG BARASHI,18/19/09/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55911/55911-1677683259.pdf,false
KADUNA,SABON GARI,,UNG NOMI/ NOMI HOUSE,18/19/09/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55905/55905-1677478487.pdf,false
KADUNA,SABON GARI,,UNG FULANI/ L.E.A. ANG FULANI,18/19/09/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55901/55901-1677478421.pdf,false
KADUNA,SABON GARI,,GWANDA/ UNG MADAKI,18/19/09/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55918/55918-1677469277.pdf,false
KADUNA,SABON GARI,,GWANDA VILLAGE/ K/G MAI ANGUWAN,18/19/09/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55917/55917-1677468502.pdf,false
KADUNA,SABON GARI,,DOGARAWA I/ CHIKIN GARI,18/19/09/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55900/55900-1677467972.pdf,false
KADUNA,SABON GARI,,UNG MAL ISA/ K/G MAL ISA,18/19/09/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55909/55909-1677467366.pdf,false
KADUNA,SABON GARI,,GABASHIN GWANDA/ GWANDA,18/19/09/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55916/55916-1677466764.pdf,false
KADUNA,SABON GARI,,DAN MAI KWARUWA/ MAISHELLARO HOUSE,18/19/09/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55910/55910-1677464802.pdf,false
KADUNA,SABON GARI,,DOGARAWA/ K/G MAI ANGUWAN,18/19/09/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55904/55904-1677464327.pdf,false
KADUNA,SABON GARI,,BAUDA/ K/G MAI ANGUWAN,18/19/09/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55914/55914-1677462996.pdf,false
KADUNA,SABON GARI,,DANDALI CHIKIN ANGUWA DOGARAWA/LAYIN ABASCO,18/19/09/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/147585/147585-1677462754.pdf,false
KADUNA,SABON GARI,,MAI GWANJO ALH AHMADU HOUSE/LAYIN SHALTO,18/19/09/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/147587/147587-1677461923.pdf,false
KADUNA,SABON GARI,,UNG SARKI/ K/G SARKI,18/19/09/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55912/55912-1677461756.pdf,false
KADUNA,SABON GARI,,UNG SAKADADI/ UPE SAKADADI,18/19/09/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55907/55907-1677461545.pdf,false
KADUNA,SABON GARI,,KABAMA RANJI/ K/G CHINDO,18/19/09/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55903/55903-1677461013.pdf,false
KADUNA,SABON GARI,,GWANDA/ GINDIN RIMI KAROFI,18/19/09/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55913/55913-1677460669.pdf,false
KADUNA,SABON GARI,,LAYIN GAMBO YAN TINKA BY GAMBO YAN TINKA HOUSE,18/19/09/027,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/147591/147591-1677459732.pdf,false
KADUNA,SABON GARI,,ZANGON DAN BARNO/ UPE ZANGON DAN BARNO,18/19/09/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55915/55915-1677459399.pdf,false
KADUNA,SABON GARI,,KWANTA RESHE/ K/G MAI ANGUWAN,18/19/09/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/55906/55906-1677458697.pdf,false
KADUNA,SABON GARI,,LEA ANG FULANI II/DOGARAWA,18/19/09/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/147586/147586-1677455878.pdf,false
KADUNA,SABON GARI,,DOGARAWA/KWAMTARESHA JUNCTION UMMULKHAIR ACADEMY,18/19/09/025,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3467/ward/21733/pu/147589/147589-1677454742.pdf,false
KADUNA,SABON GARI,,DOGARAWA II/ TANKO HOUSE,18/19/09/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/19/ward/09/pu/020/020-1677417847.pdf,false
KADUNA,SABON GARI,,LAYIN MASU ADUDU BY MASU ADUDU HOUSE,18/19/09/026,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/19/ward/09/pu/026/026-1677374500.pdf,false
KADUNA,SABON GARI,,UNG SARKI/ UPE SAKADADI,18/19/09/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/19/ward/09/pu/009/009-1677362525.pdf,false
KADUNA,SABON GARI,,UNG ALH BARAU/ K/G ALH BARAU DIKO,18/19/09/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/19/ward/09/pu/003/003-1677360373.pdf,false
