state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KADUNA,ZARIA,,KOGORO II/SABUWAR ANG/K/G BASHIR PORTHARCOURT,18/23/07/038,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/643067/result_118811_1677651737_thumb.jpg,false
KADUNA,ZARIA,,GYALLESU I/ L.E.A GYALLESU,18/23/07/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56620/result_118774_1677651643_thumb.jpg,false
KADUNA,ZARIA,,GYALLESU II/ L.E.A GYALLESU,18/23/07/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56621/result_118775_1677651577_thumb.jpg,false
KADUNA,ZARIA,,GYALLESU III/ L.E.A GYALLESU,18/23/07/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56622/result_118776_1677651501_thumb.jpg,false
KADUNA,ZARIA,,WALI ROAD/ (NO.28) K/G ABDU BIGE,18/23/07/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56623/result_118777_1677651427_thumb.jpg,false
KADUNA,ZARIA,,MADAKI ROAD/ ADISON MED. STORE,18/23/07/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56624/result_118778_1677651182_thumb.jpg,false
KADUNA,ZARIA,,SARKIN YAKI ROAD I/ (NO.1) MANGORON ANDI,18/23/07/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56625/result_118779_1677651099_thumb.jpg,false
KADUNA,ZARIA,,SARKIN YAKI ROAD II/ K/G MAL. ALI (NO.31),18/23/07/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56626/result_118780_1677651018_thumb.jpg,false
KADUNA,ZARIA,,MALAMA ROAD I/ K/G BALARABE KUBAU,18/23/07/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56627/result_118781_1677650915_thumb.jpg,false
KADUNA,ZARIA,,MALAMA ROAD II/ K/G LIMAN,18/23/07/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56628/result_118782_1677650860_thumb.jpg,false
KADUNA,ZARIA,,CONGO ROAD/ RIMIN TSIWA ESTATE,18/23/07/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56629/result_118783_1677648562_thumb.jpg,false
