state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ADAMAWA,JADA,MBULO,SABONLAYI I/MBULO VIEWING CENTRE,02/08/09/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/128514/128514-1677713448.pdf,true
ADAMAWA,JADA,MBULO,MBANGANTIREN I/MBANGANTIREN PRIMARY SCHOOL,02/08/09/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/128513/128513-1677713353.pdf,true
ADAMAWA,JADA,MBULO,KOJOLI I/GANGALANDA/ OPEN SPACE FOOTBALL FIELD GANGALANDA PRY. SCH.,02/08/09/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/128512/128512-1677713143.pdf,true
ADAMAWA,JADA,MBULO,JARENDI I/ JARENDI PRIMARY SCHOOL,02/08/09/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/128511/128511-1677712985.pdf,true
ADAMAWA,JADA,MBULO,GANGSANGJI II/NAWAI PRIMARY SCHOOL,02/08/09/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/128510/128510-1677712849.pdf,true
ADAMAWA,JADA,MBULO,GANGSANGJI I/OPEN SPACE FOOTBALL FIELD GANGSANGJI PRIMARY SCHOOL,02/08/09/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/128509/128509-1677712690.pdf,true
ADAMAWA,JADA,MBULO,FARANG VAN I/ FARANG VAN CLINIC NEAR FARANG VAN PRIMARY SCHOOL,02/08/09/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/128508/128508-1677712277.pdf,true
ADAMAWA,JADA,MBULO,PRY SCH WEYIBENSO,02/08/09/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/3638/3638-1677712024.pdf,true
ADAMAWA,JADA,MBULO,TIMKOBA/ KOFAR JAURO TIMKOBA,02/08/09/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/3637/3637-1677711883.pdf,true
ADAMAWA,JADA,MBULO,GDSS MBULO,02/08/09/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/3636/3636-1677711752.pdf,true
ADAMAWA,JADA,MBULO,SABON LAYI/ MBULO PRY. SCH.,02/08/09/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/3635/3635-1677711634.pdf,true
ADAMAWA,JADA,MBULO,POLA/ POLA PRY. SCH.,02/08/09/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/3634/3634-1677711521.pdf,true
ADAMAWA,JADA,MBULO,MBULO KOMBUWAL/ MBULO K. PRY. SCH.,02/08/09/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/3633/3633-1677711355.pdf,true
ADAMAWA,JADA,MBULO,PRY SCH VERE,02/08/09/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/3632/3632-1677711208.pdf,true
ADAMAWA,JADA,MBULO,PRY SCH TAPPARE,02/08/09/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/3631/3631-1677710943.pdf,true
ADAMAWA,JADA,MBULO,KOJOLI/ GANGALADA/ GANGALADA PRY. SCH.,02/08/09/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/3630/3630-1677710794.pdf,true
ADAMAWA,JADA,MBULO,ISLAMIYA PRY SCH JAURO JODA,02/08/09/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/3629/3629-1677710680.pdf,true
ADAMAWA,JADA,MBULO,GANGYAKI/ GANGYAKI PRY. SCH.,02/08/09/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/3627/3627-1677710463.pdf,true
ADAMAWA,JADA,MBULO,AREA COURT KAREJI NATUBI,02/08/09/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/3626/3626-1677710273.pdf,true
ADAMAWA,JADA,MBULO,GANGSANJI/ GANGSANJI PRY. SCH.,02/08/09/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/3625/3625-1677710122.pdf,true
ADAMAWA,JADA,MBULO,GANGMOBI/ GANGMOBI PRY. SCH.,02/08/09/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/3624/3624-1677709905.pdf,true
ADAMAWA,JADA,MBULO,FARANG VAN/ FARANG VAN PRY. SCH.,02/08/09/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/3623/3623-1677708797.pdf,true
ADAMAWA,JADA,MBULO,FARANG RAI/ KOFAR JAURO FARANG RAI,02/08/09/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3127/ward/17791/pu/3622/3622-1677707828.pdf,true
ADAMAWA,JADA,MBULO,JARANDI/ KOFAR JAURO JARANDI,02/08/09/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/3622/result_47522_1677543195_thumb.jpg,true
