state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ADAMAWA,MAYO - BELWA,MAYO-BELWA,ZANGO IV/HAMMANYERO OLD NURSERY PRY SCH,02/12/06/051,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/620280/result_48129_1677620758_thumb.jpg,false
ADAMAWA,MAYO - BELWA,MAYO-BELWA,ZANGO III HAMMANYERO OLD NURSERY PRY SCH,02/12/06/050,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/620279/result_48128_1677617979_thumb.jpg,false
ADAMAWA,MAYO - BELWA,MAYO-BELWA,YELWA IV YELWA PRY SCH,02/12/06/049,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/620278/result_48127_1677617795_thumb.jpg,false
ADAMAWA,MAYO - BELWA,MAYO-BELWA,YELWA III YELWA PRYSCH,02/12/06/048,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/620277/result_48126_1677617670_thumb.jpg,false
ADAMAWA,MAYO - BELWA,MAYO-BELWA,WURO MANA VII ISLAMIYA PRY SCH NEAR BORE HOLE,02/12/06/047,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/620276/result_48125_1677617530_thumb.jpg,false
ADAMAWA,MAYO - BELWA,MAYO-BELWA,WURO MANA VI ISLAMIYA PRY SCH UPSTAIRS,02/12/06/046,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/620275/result_48124_1677617436_thumb.jpg,false
ADAMAWA,MAYO - BELWA,MAYO-BELWA,WURO MANA V ISLAMIYA PRY SCH,02/12/06/045,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/620274/result_48123_1677617337_thumb.jpg,false
ADAMAWA,MAYO - BELWA,MAYO-BELWA,WURO MANA IV ISLAMIYA PRY SCH,02/12/06/044,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/620273/result_48122_1677617119_thumb.jpg,false
ADAMAWA,MAYO - BELWA,MAYO-BELWA,WURO MANA III  ISLAMIYA PRY SCH,02/12/06/043,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/620272/result_48121_1677617016_thumb.jpg,false
ADAMAWA,MAYO - BELWA,MAYO-BELWA,WURO JABBI-LG SECRETERIATIII/WURO JABBI PRY SCH,02/12/06/042,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/620271/result_48120_1677616893_thumb.jpg,false
