state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ADAMAWA,MUBI NORTH,,BATANDE/ BATANDE,02/14/03/001,,false
ADAMAWA,MUBI NORTH,,KOFAR JAURO YAZA/ YAZA,02/14/03/006,,false
ADAMAWA,MUBI NORTH,,KASUWAN DIGIL OPEN SPACE,02/14/03/011,,false
ADAMAWA,MUBI NORTH,,DIGIL PRI. SCH./ LESSWURO,02/14/03/003,,false
ADAMAWA,MUBI NORTH,,WURO BARKA/ WURO BARKA,02/14/03/008,,false
ADAMAWA,MUBI NORTH,,DIDIF PRI. SCH./ DIDIF,02/14/03/002,,false
ADAMAWA,MUBI NORTH,,MUCHALARE/ MUCHALARE,02/14/03/007,,false
ADAMAWA,MUBI NORTH,,SABON GARI TRANSFORMER NEAR BORE HOLE,02/14/03/012,,false
ADAMAWA,MUBI NORTH,,KOFAR ARDO MARAFA/ DOUWURO,02/14/03/005,,false
ADAMAWA,MUBI NORTH,,HURIDA PRI. SCH./ HURIDA I,02/14/03/010,,false
ADAMAWA,MUBI NORTH,,HURIDA PRI. SCH./ HURIDA,02/14/03/004,,false
ADAMAWA,MUBI NORTH,,WURO HARDE PRI. SCH./ WURO HARDE,02/14/03/009,,false
