state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ADAMAWA,TOUNGO,TOUNGO I,GARBA CHAMBA/GSS TOUNGO V,02/19/08/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3138/ward/17911/pu/129085/129085-1677583735.pdf,true
ADAMAWA,TOUNGO,TOUNGO I,GARBA CHAMBA/GSS TOUNGO IV,02/19/08/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3138/ward/17911/pu/129084/129084-1677583123.pdf,false
ADAMAWA,TOUNGO,TOUNGO I,GARBA CHAMBA/GSS TOUNGO III,02/19/08/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3138/ward/17911/pu/129083/129083-1677582823.pdf,false
ADAMAWA,TOUNGO,TOUNGO I,NEAR MOTOR PARK VIEWING CENTRE,02/19/08/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3138/ward/17911/pu/129082/129082-1677582229.pdf,false
ADAMAWA,TOUNGO,TOUNGO I,OPEN SPACE VIEWING CENTRE,02/19/08/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3138/ward/17911/pu/129081/129081-1677581991.pdf,true
ADAMAWA,TOUNGO,TOUNGO I,BORE HOLE/KOFAR JAURO BAKARI,02/19/08/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3138/ward/17911/pu/129080/129080-1677581680.pdf,true
ADAMAWA,TOUNGO,TOUNGO I,"VIEWING CENTER, OLD MARKET",02/19/08/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3138/ward/17911/pu/129079/129079-1677581126.pdf,true
ADAMAWA,TOUNGO,TOUNGO I,MAYO SANGNARE/ KOFAR JAURO M/SANGNARE,02/19/08/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3138/ward/17911/pu/4965/4965-1677580700.pdf,true
ADAMAWA,TOUNGO,TOUNGO I,GARBA CHAMBA/ G.S.S TOUNGO,02/19/08/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3138/ward/17911/pu/4963/4963-1677580397.pdf,true
ADAMAWA,TOUNGO,TOUNGO I,GARBA CHAMBA/ TOUNGO II PRI. SCH.,02/19/08/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3138/ward/17911/pu/4964/4964-1677580115.pdf,true
ADAMAWA,TOUNGO,TOUNGO I,GARBA CHAMBA/ G.S.S TOUNGO,02/19/08/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3138/ward/17911/pu/4962/4962-1677579705.pdf,true
ADAMAWA,TOUNGO,TOUNGO I,BARADE/ KOFAR JAURO BARADE OPP. WELL,02/19/08/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3138/ward/17911/pu/4961/4961-1677579400.pdf,true
ADAMAWA,TOUNGO,TOUNGO I,BARADE/ KOFAR JAURO BARADE,02/19/08/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3138/ward/17911/pu/4960/4960-1677579106.pdf,true
ADAMAWA,TOUNGO,TOUNGO I,BARADE/ TOUNGO MOTOR PARK,02/19/08/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3138/ward/17911/pu/4959/4959-1677578703.pdf,false
ADAMAWA,TOUNGO,TOUNGO I,BARADE/ TOUNGO MAIN MARKET,02/19/08/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3138/ward/17911/pu/4958/4958-1677578245.pdf,false
