state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ADAMAWA,YOLA NORTH,KAREWA,BACHURE PRIMARY SCHOOL VI,02/20/06/025,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3139/ward/17919/pu/129211/129211-1677490891.pdf,false
ADAMAWA,YOLA NORTH,KAREWA,CHILDREN'S HOME PRIMARY SCH.,02/20/06/046,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3139/ward/17919/pu/129232/129232-1677479296.pdf,false
ADAMAWA,YOLA NORTH,KAREWA,ADAMAWA STATE AGENCY FOR MASS EDU. CENTRE FOR ADULT & HOME ECONOMICS MULTI PURPOSE CENTRE MALAMRE,02/20/06/057,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3139/ward/17919/pu/129243/129243-1677478832.pdf,false
ADAMAWA,YOLA NORTH,KAREWA,STATE POLY IV,02/20/06/038,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3139/ward/17919/pu/129224/129224-1677478647.pdf,false
ADAMAWA,YOLA NORTH,KAREWA,FAAN PRIMARY SCHOOL,02/20/06/034,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3139/ward/17919/pu/129220/129220-1677478559.pdf,false
ADAMAWA,YOLA NORTH,KAREWA,MALAMRE QTRS/ KOFAR SULEIMAN WAPANDA,02/20/06/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3139/ward/17919/pu/5074/5074-1677478259.pdf,false
ADAMAWA,YOLA NORTH,KAREWA,STATE POLY VII,02/20/06/041,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3139/ward/17919/pu/129227/129227-1677478182.pdf,false
ADAMAWA,YOLA NORTH,KAREWA,NOUN STUDY CENTER,02/20/06/048,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3139/ward/17919/pu/129234/129234-1677478167.pdf,false
ADAMAWA,YOLA NORTH,KAREWA,STATE POLY V,02/20/06/039,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3139/ward/17919/pu/129225/129225-1677477788.pdf,false
ADAMAWA,YOLA NORTH,KAREWA,GDSS (ARMY) STAFF QTRS. II,02/20/06/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3139/ward/17919/pu/5065/5065-1677477693.pdf,false
ADAMAWA,YOLA NORTH,KAREWA,BEHIND GMMC (RAMAT),02/20/06/045,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3139/ward/17919/pu/129231/129231-1677477164.pdf,false
ADAMAWA,YOLA NORTH,KAREWA,KOFARE PRIMARY SCHOOL II,02/20/06/032,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3139/ward/17919/pu/129218/129218-1677476891.pdf,false
ADAMAWA,YOLA NORTH,KAREWA,NALDA OFFICE MASAKARE,02/20/06/047,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3139/ward/17919/pu/129233/129233-1677476754.pdf,false
ADAMAWA,YOLA NORTH,KAREWA,NEAR ROYAL HOSPITAL,02/20/06/033,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3139/ward/17919/pu/129219/129219-1677476674.pdf,false
